Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Williams 	Sirotkin 	2.10 		25
2 	Red Bull 	Ricciardo 	2.22 		18
3 	Toro Rosso 	Gasly 	2.27 		15
4 	Williams 	Stroll 	2.36 		12
5 	Mercedes 	Bottas 	2.51 		10
6 	Ferrari 	Räikkönen 	2.52 		8
7 	Haas 	Grosjean 	2.67 		6
8 	Mercedes 	Hamilton 	2.72 		4
9 	McLaren 	Vandoorne 	2.73 		2
10 	Toro Rosso 	Hartley 	2.79 		1
11 	Renault 	Hülkenberg 	2.81 		0
12 	Renault 	Sainz 	2.82 		0
13 	McLaren 	Alonso 	2.84 		0
14 	Force India 	Perez 	3.20 		0
15 	Force India 	Ocon 	3.21 		0
16 	Sauber 	Ericsson 	3.45 		0
17 	Renault 	Hülkenberg 	3.63 		0
18 	Ferrari 	Vettel 	4.22 		0
19 	Ferrari 	Räikkönen 	5.18 		0
20 	Haas 	Magnussen 	6.01 		0
