Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Vettel 	2.29 		25
2 	Williams 	Sirotkin 	2.32 		18
3 	Sauber 	Ericsson 	2.45 		15
4 	Toro Rosso 	Gasly 	2.47 		12
5 	Red Bull 	Verstappen 	2.55 		10
6 	Mercedes 	Bottas 	2.62 		8
7 	McLaren 	Vandoorne 	2.67 		6
8 	Toro Rosso 	Hartley 	2.71 		4
9 	Mercedes 	Hamilton 	2.79 		2
10 	Williams 	Stroll 	2.94 		1
11 	Force India 	Perez 	3.05 		0
12 	Haas 	Grosjean 	3.14 		0
13 	Force India 	Ocon 	3.16 		0
14 	McLaren 	Vandoorne 	3.35 		0
15 	Renault 	Sainz 	3.85 		0
16 	Haas 	Magnussen 	4.16 		0
17 	Ferrari 	Raikkonen 	5.37 		0
18 	Ferrari 	Raikkonen 	6.92 		0
19 	Red Bull 	Ricciardo 	10.21 		0
20 	Mercedes 	Bottas 	10.69 		0
21 	Ferrari 	Raikkonen 	15.00 		0
22 	Red Bull 	Ricciardo 	33.46 		0
