Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Verstappen 	2.15 		25
2 	Ferrari 	Räikkönen 	2.39 		18
3 	Red Bull 	Ricciardo 	2.45 		15
4 	Williams 	Stroll 	2.53 		12
5 	Haas 	Magnussen 	2.72 		10
6 	Toro Rosso 	Hartley 	2.80 		8
7 	Sauber 	Leclerc 	2.98 		6
8 	Ferrari 	Vettel 	3.01 		4
9 	Force India 	Ocon 	3.03 		2
10 	Mercedes 	Hamilton 	3.03 		1
11 	Mercedes 	Bottas 	3.04 		0
12 	Toro Rosso 	Hartley 	3.17 		0
13 	McLaren 	Alonso 	3.35 		0
14 	Force India 	Perez 	3.38 		0
15 	McLaren 	Vandoorne 	3.55 		0
16 	Sauber 	Leclerc 	3.59 		0
17 	Renault 	Hülkenberg 	3.90 		0
18 	Haas 	Grosjean 	4.02 		0
19 	Renault 	Sainz 	5.09 		0
20 	Williams 	Stroll 	6.46 		0
