Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Vettel 	2.24 		25
2 	Williams 	Sirotkin 	2.40 		18
3 	Mercedes 	Hamilton 	2.53 		15
4 	Renault 	Hülkenberg 	2.68 		12
5 	Force India 	Ocon 	2.68 		10
6 	Force India 	Ocon 	2.75 		0
7 	Force India 	Perez 	2.87 		8
8 	Renault 	Hülkenberg 	2.95 		0
9 	Sauber 	Leclerc 	2.98 		6
10 	Ferrari 	Räikkönen 	2.99 		4
11 	Ferrari 	Räikkönen 	2.99 		0
12 	McLaren 	Vandoorne 	3.01 		2
13 	Haas 	Magnussen 	3.02 		1
14 	Toro Rosso 	Gasly 	3.07 		0
15 	Williams 	Stroll 	3.07 		0
16 	McLaren 	Vandoorne 	3.07 		0
17 	McLaren 	Alonso 	3.18 		0
18 	Sauber 	Ericsson 	3.20 		0
19 	Toro Rosso 	Hartley 	3.24 		0
20 	Force India 	Perez 	3.24 		0
21 	Renault 	Sainz 	3.24 		0
22 	Haas 	Magnussen 	3.27 		0
23 	Toro Rosso 	Gasly 	3.36 		0
24 	Haas 	Grosjean 	3.40 		0
25 	Sauber 	Leclerc 	3.43 		0
26 	McLaren 	Alonso 	3.47 		0
27 	Williams 	Sirotkin 	3.79 		0
28 	Mercedes 	Bottas 	3.87 		0
29 	Red Bull 	Verstappen 	3.88 		0
30 	Haas 	Grosjean 	3.97 		0
31 	Renault 	Sainz 	4.13 		0
32 	Haas 	Grosjean 	4.62 		0
33 	Williams 	Stroll 	12.04 		1
34 	Toro Rosso 	Hartley 	14.42 		1
