Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Ricciardo 	2.18 		25
2 	Sauber 	Leclerc 	2.30 		18
3 	Red Bull 	Verstappen 	2.32 		15
4 	Mercedes 	Hamilton 	2.44 		12
5 	Sauber 	Ericsson 	2.45 		10
6 	Mercedes 	Hamilton 	2.61 		0
7 	Ferrari 	Räikkönen 	2.64 		8
8 	Toro Rosso 	Gasly 	2.86 		6
9 	McLaren 	Alonso 	2.92 		4
10 	Haas 	Magnussen 	2.96 		2
11 	Red Bull 	Ricciardo 	3.07 		0
12 	Haas 	Grosjean 	3.19 		1
13 	Ferrari 	Vettel 	3.25 		0
14 	McLaren 	Vandoorne 	3.45 		0
15 	Force India 	Ocon 	3.59 		0
16 	Williams 	Stroll 	3.68 		0
17 	Force India 	Perez 	3.98 		0
18 	Williams 	Stroll 	4.02 		0
19 	Williams 	Sirotkin 	4.04 		0
20 	Renault 	Sainz 	4.26 		0
21 	Williams 	Sirotkin 	6.05 		0
22 	Renault 	Sainz 	7.79 		0
23 	McLaren 	Vandoorne 	27.07 		0
