Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Gasly	1.91	12	25
2	Red Bull	Verstappen	1.96	13	18
3	Red Bull	Verstappen	2.06	20	0
4	Williams	Kubica	2.14	20	15
5	McLaren	Sainz	2.17	20	12
6	Ferrari	Vettel	2.25	20	10
7	Renault	Ricciardo	2.44	12	8
8	McLaren	Norris	2.45	35	6
9	Mercedes	Bottas	2.47	45	4
10	Alfa Romeo	Räikkönen	2.52	17	2
11	Ferrari	Leclerc	2.56	21	1
12	McLaren	Norris	2.61	13	0
13	Racing Point	Perez	2.65	46	0
14	Renault	Ricciardo	2.7	20	0
15	Ferrari	Leclerc	2.79	13	0
16	Mercedes	Bottas	2.82	16	0
17	Toro Rosso	Kvyat	2.83	21	0
18	Renault	Hülkenberg	2.9	13	0
19	Toro Rosso	Albon	2.97	13	0
20	Mercedes	Hamilton	2.99	20	0
21	Racing Point	Stroll	3.39	39	0
22	Toro Rosso	Kvyat	3.76	12	0
23	Williams	Russell	4.16	21	0
24	Racing Point	Stroll	4.4	13	0
25	Racing Point	Perez	4.52	18	0
26	Haas	Magnussen	5.2	1	0
27	Haas	Grosjean	6.26	1	0
28	Racing Point	Perez	10.98	24	0
29	Ferrari	Vettel	12.24	38	0
