Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2.15	44	25
2	Mercedes	Bottas	2.28	27	18
3	Williams	Russell	2.32	23	15
4	Ferrari	Leclerc	2.34	20	12
5	Mercedes	Hamilton	2.4	49	10
6	Mercedes	Hamilton	2.61	19	0
7	Renault	Hulkenberg	2.69	29	8
8	Haas	Magnussen	2.73	20	6
9	McLaren	Norris	2.78	23	4
10	Renault	Ricciardo	2.79	30	2
11	Red Bull	Verstappen	2.83	27	1
12	Ferrari	Vettel	2.84	41	0
13	Racing Point	Stroll	2.9	22	0
14	Toro Rosso	Gasly	3.07	28	0
15	Haas	Grosjean	3.1	29	0
16	Alfa Romeo	Raikkonen	3.14	26	0
17	Toro Rosso	Kvyat	3.44	28	0
18	Haas	Magnussen	3.5	34	0
19	Racing Point	Perez	3.83	28	0
20	Alfa Romeo	Giovinazzi	4.2	21	0
21	McLaren	Sainz	4.45	27	0
22	Haas	Grosjean	4.74	7	0
23	Red Bull	Albon	8.22	26	0
24	Red Bull	Verstappen	9.96	1	0
25	Williams	Kubica	10.09	29	0
26	Ferrari	Vettel	10.49	12	0
27	Ferrari	Vettel	10.51	6	0
28	Alfa Romeo	Raikkonen	10.58	19	0
