Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2.27	33	25
2	Racing Point	Perez	2.38	19	18
3	Mercedes	Bottas	2.44	17	15
4	Alfa Romeo	Räikkönen	2.47	36	12
5	Red Bull	Albon	2.52	34	10
6	Ferrari	Vettel	2.56	31	8
7	Toro Rosso	Kvyat	2.63	27	6
8	Red Bull	Albon	2.64	15	0
9	Mercedes	Bottas	2.65	36	0
10	Racing Point	Perez	2.74	41	0
11	Haas	Grosjean	2.77	16	4
12	Ferrari	Leclerc	2.83	46	2
13	Williams	Russell	2.84	25	1
14	McLaren	Sainz	2.85	26	0
15	Alfa Romeo	Giovinazzi	2.89	18	0
16	Racing Point	Stroll	2.9	18	0
17	Toro Rosso	Gasly	2.9	18	0
18	Alfa Romeo	Räikkönen	2.96	15	0
19	Mercedes	Hamilton	2.98	21	0
20	Haas	Magnussen	3.06	47	0
21	Alfa Romeo	Giovinazzi	3.06	49	0
22	Renault	Ricciardo	3.11	29	0
23	Mercedes	Hamilton	3.14	42	0
24	Ferrari	Leclerc	3.15	25	0
25	Renault	Hülkenberg	3.3	19	0
26	Ferrari	Vettel	3.32	16	0
27	Haas	Magnussen	3.37	17	0
28	McLaren	Norris	3.51	25	0
29	McLaren	Norris	5.06	4	0
30	Williams	Kubica	5.76	22	0
31	Ferrari	Leclerc	9.9	3	0
