Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.06	25	25
2	Mercedes	Bottas	2.11	29	18
3	McLaren	Sainz	2.37	41	15
4	Williams	Kubica	2.39	24	12
5	Ferrari	Leclerc	2.45	38	10
6	Haas	Magnussen	2.5	20	8
7	Haas	Grosjean	2.59	18	6
8	Ferrari	Leclerc	2.6	12	0
9	Toro Rosso	Kvyat	2.65	40	4
10	Renault	Hülkenberg	2.68	18	2
11	Racing Point	Stroll	2.68	23	1
12	Renault	Ricciardo	2.68	42	0
13	Ferrari	Vettel	2.78	38	0
14	Red Bull	Albon	2.88	13	0
15	McLaren	Sainz	2.89	12	0
16	Renault	Ricciardo	2.91	11	0
17	Racing Point	Perez	2.98	37	0
18	Alfa Romeo	Giovinazzi	2.99	8	0
19	Alfa Romeo	Räikkönen	3.07	22	0
20	Williams	Russell	3.14	32	0
21	Mercedes	Hamilton	3.26	26	0
22	Alfa Romeo	Giovinazzi	3.49	26	0
23	McLaren	Norris	3.93	8	0
24	Ferrari	Vettel	6.91	12	0
25	Racing Point	Stroll	9.42	5	0
26	Toro Rosso	Gasly	58.24	1	0
