Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	McLaren	Sainz	2.07	24	25
2	Ferrari	Vettel	2.08	40	18
3	McLaren	Norris	2.14	26	15
4	Ferrari	Leclerc	2.15	46	12
5	Williams	Kubica	2.16	31	10
6	Williams	Kubica	2.17	44	0
7	McLaren	Sainz	2.27	46	0
8	Williams	Russell	2.29	44	8
9	Red Bull	Gasly	2.5	46	6
10	Toro Rosso	Kvyat	2.53	21	4
11	Haas	Magnussen	2.61	23	2
12	Alfa Romeo	Raikkonen	2.64	28	1
13	Mercedes	Hamilton	2.66	27	0
14	Renault	Hulkenberg	2.7	35	0
15	Renault	Ricciardo	2.71	24	0
16	Mercedes	Hamilton	2.75	46	0
17	Haas	Grosjean	2.8	26	0
18	Mercedes	Bottas	2.83	26	0
19	Red Bull	Verstappen	2.87	43	0
20	Red Bull	Verstappen	2.92	20	0
21	Alfa Romeo	Giovinazzi	2.95	6	0
22	Renault	Raikkonen	3.04	45	0
23	Renault	Ricciardo	3.09	45	0
24	McLaren	Gasly	3.11	22	0
25	Racing Point	Perez	3.11	24	0
26	Williams	Russell	3.12	32	0
27	Mercedes	Bottas	3.18	45	0
28	Haas	Grosjean	3.2	46	0
29	Racing Point	Perez	3.24	45	0
30	Haas	Magnussen	3.61	45	0
31	Alfa Romeo	Giovinazzi	3.83	41	0
32	Racing Point	Stroll	3.92	22	0
33	Toro Rosso	Albon	4.06	25	0
34	Ferrari	Vettel	4.41	19	0
35	Ferrari	Leclerc	4.49	25	0
36	Toro Rosso	Kvyat	14.8	45	0
37	Toro Rosso	Albon	15.37	45	0
