Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	1.86	25	25
2	Red Bull	Albon	1.89	1	18
3	Williams	Russell	2	14	15
4	Williams	Russell	2.32	1	0
5	Williams	Russell	2.43	50	0
6	Williams	Latifi	2.45	17	12
7	AlphaTauri	Kvyat	2.47	30	10
8	Ferrari	Vettel	2.57	30	8
9	Racing Point	Perez	2.66	20	6
10	Alfa Romeo	Giovinazzi	2.67	16	4
11	AlphaTauri	Gasly	2.67	42	2
12	AlphaTauri	Gasly	2.68	18	0
13	Mercedes	Bottas	2.79	26	1
14	Haas	Grosjean	2.83	17	0
15	Haas	Grosjean	2.98	42	0
16	Haas	Magnussen	3.03	19	0
17	Red Bull	Albon	3.03	27	0
18	Renault	Ocon	3.05	18	0
19	Ferrari	Leclerc	3.35	28	0
20	Renault	Ricciardo	3.71	15	0
21	McLaren	Norris	4.67	47	0
22	Alfa Romeo	Raikkonen	6.29	35	0
23	McLaren	Norris	8.52	1	0
24	Mercedes	Hamilton	14.47	16	0
