Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	1.92	16	25
2	Williams	Russell	2.27	11	18
3	McLaren	Norris	2.48	29	15
4	Red Bull	Albon	2.49	7	12
5	Mercedes	Bottas	2.52	13	10
6	Racing Point	Hulkenberg	2.53	29	8
7	AlphaTauri	Kvyat	2.59	44	6
8	Red Bull	Verstappen	2.62	45	0
9	Renault	Ricciardo	2.63	44	4
10	Racing Point	Hulkenberg	2.63	44	0
11	Racing Point	Perez	2.64	45	2
12	Alfa Romeo	Raikkonen	2.77	10	1
13	Ferrari	Leclerc	2.8	10	0
14	Ferrari	Vettel	2.82	11	0
15	Haas	Magnussen	2.85	14	0
16	AlphaTauri	Gasly	2.87	30	0
17	McLaren	Sainz	2.87	28	0
18	Racing Point	Perez	2.9	28	0
19	Haas	Magnussen	2.93	34	0
20	Alfa Romeo	Giovinazzi	3.02	15	0
21	McLaren	Sainz	3.07	44	0
22	Renault	Ricciardo	3.13	16	0
23	Mercedes	Hamilton	3.27	45	0
24	Ferrari	Leclerc	3.33	35	0
25	Alfa Romeo	Giovinazzi	3.36	36	0
26	AlphaTauri	Gasly	3.51	44	0
27	Haas	Grosjean	3.62	28	0
28	Williams	Latifi	4.04	33	0
29	Williams	Latifi	4.23	14	0
30	Mercedes	Hamilton	4.26	16	0
31	Ferrari	Vettel	4.45	41	0
32	AlphaTauri	Kvyat	10.47	17	0
33	Alfa Romeo	Raikkonen	13.53	44	0
