Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Albon	1.86	46	25
2	Red Bull	Verstappen	1.96	23	18
3	Red Bull	Albon	2.1	19	0
4	Racing Point	Perez	2.3	1	15
5	Alfa Romeo	Giovinazzi	2.35	28	12
6	Mercedes	Bottas	2.48	41	10
7	Williams	Latifi	2.61	24	8
8	Ferrari	Vettel	2.62	27	6
9	Ferrari	Leclerc	2.71	34	4
10	Haas	Magnussen	2.75	31	2
11	Mercedes	Hamilton	2.79	40	1
12	Haas	Grosjean	2.86	26	0
13	McLaren	Sainz	2.92	26	0
14	Racing Point	Perez	2.92	45	0
15	AlphaTauri	Gasly	3.01	28	0
16	Renault	Ricciardo	3.04	14	0
17	AlphaTauri	Kvyat	3.06	25	0
18	McLaren	Norris	3.8	43	0
19	Renault	Ocon	4.53	53	0
20	Alfa Romeo	Raikkonen	5.1	11	0
21	AlphaTauri	Kvyat	8.68	55	0
22	Williams	Russell	8.91	36	0
23	McLaren	Norris	10.79	18	0
24	Racing Point	Stroll	12.84	18	0
25	Racing Point	Stroll	13.72	34	0
