Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Albon	1.9	62	25
2	Red Bull	Albon	2.09	47	0
3	Mercedes	Russell	2.36	78	18
4	AlphaTauri	Kvyat	2.4	27	15
5	Mercedes	Bottas	2.46	49	12
6	Racing Point	Perez	2.46	1	10
7	Mercedes	Russell	2.46	45	0
8	Renault	Ocon	2.48	41	8
9	Williams	Latifi	2.51	27	6
10	McLaren	Sainz	2.52	28	4
11	AlphaTauri	Kvyat	2.55	53	0
12	Alfa Romeo	Raikkonen	2.57	55	2
13	Racing Point	Stroll	2.65	42	1
14	Alfa Romeo	Raikkonen	2.7	62	0
15	McLaren	Norris	2.75	54	0
16	Williams	Aitken	2.79	31	0
17	Mercedes	Russell	2.8	63	0
18	Renault	Ricciardo	2.81	29	0
19	Alfa Romeo	Giovinazzi	2.82	54	0
20	Alfa Romeo	Giovinazzi	3.01	26	0
21	AlphaTauri	Gasly	3.03	51	0
22	Racing Point	Perez	3.05	47	0
23	AlphaTauri	Gasly	3.09	28	0
24	McLaren	Norris	3.11	20	0
25	Renault	Ricciardo	3.13	55	0
26	Ferrari	Vettel	3.24	63	0
27	McLaren	Sainz	3.39	54	0
28	Haas	Magnussen	3.46	26	0
29	Haas	Magnussen	3.53	54	0
30	Haas	Fittipaldi	3.78	63	0
31	Williams	Aitken	3.83	54	0
32	Haas	Fittipaldi	4.29	54	0
33	Ferrari	Vettel	4.59	31	0
34	Mercedes	Russell	5.37	62	0
35	Haas	Fittipaldi	5.41	31	0
36	Ferrari	Vettel	6.52	53	0
37	Alfa Romeo	Raikkonen	6.55	23	0
38	Williams	Aitken	17.46	59	0
39	Mercedes	Bottas	27.47	62	0
