Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Albon	2.03	30	25
2	Alfa Romeo	Giovinazzi	2.18	7	18
3	Red Bull	Albon	2.19	6	0
4	Mercedes	Bottas	2.22	32	15
5	Williams	Latifi	2.37	26	12
6	AlphaTauri	Kvyat	2.4	19	10
7	Renault	Ocon	2.4	22	8
8	Renault	Ricciardo	2.44	35	6
9	AlphaTauri	Gasly	2.46	7	4
10	Racing Point	Hulkenberg	2.48	30	2
11	Ferrari	Vettel	2.5	22	1
12	Mercedes	Bottas	2.51	13	0
13	Mercedes	Hamilton	2.58	14	0
14	McLaren	Norris	2.59	12	0
15	AlphaTauri	Gasly	2.6	23	0
16	Racing Point	Stroll	2.62	31	0
17	Renault	Ricciardo	2.68	26	0
18	Ferrari	Vettel	2.7	33	0
19	Racing Point	Stroll	2.71	18	0
20	Mercedes	Hamilton	2.72	41	0
21	Williams	Latifi	2.79	9	0
22	Williams	Russell	2.8	8	0
23	AlphaTauri	Kvyat	2.83	35	0
24	Williams	Russell	2.84	24	0
25	Haas	Magnussen	2.87	9	0
26	Racing Point	Hulkenberg	2.88	15	0
27	Racing Point	Hulkenberg	2.88	44	0
28	Renault	Ricciardo	2.93	14	0
29	Alfa Romeo	Giovinazzi	2.96	33	0
30	Red Bull	Verstappen	3.09	32	0
31	McLaren	Sainz	3.14	34	0
32	Haas	Magnussen	3.2	20	0
33	Williams	Russell	3.21	39	0
34	Williams	Latifi	3.25	46	0
35	Red Bull	Verstappen	3.29	26	0
36	McLaren	Norris	3.32	29	0
37	Haas	Grosjean	3.37	17	0
38	Ferrari	Leclerc	3.37	18	0
39	Haas	Grosjean	3.49	38	0
40	Alfa Romeo	Raikkonen	3.63	26	0
41	McLaren	Sainz	7.48	22	0
