Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Latifi	2.37	10	25
2	Mercedes	Hamilton	2.5	11	18
3	Red Bull	Albon	2.52	11	15
4	Red Bull	Verstappen	2.63	11	12
5	Ferrari	Vettel	2.64	11	10
6	Alfa Romeo	Raikkonen	2.66	10	8
7	McLaren	Norris	2.66	11	6
8	AlphaTauri	Gasly	2.7	26	4
9	Racing Point	Perez	2.79	18	2
10	Renault	Ricciardo	2.92	11	1
11	Renault	Ocon	3.03	11	0
12	Williams	Latifi	3.17	30	0
13	Haas	Grosjean	3.27	10	0
14	Racing Point	Stroll	3.56	11	0
15	Mercedes	Bottas	3.58	11	0
16	AlphaTauri	Kvyat	3.7	11	0
17	Haas	Magnussen	3.7	35	0
18	Haas	Magnussen	3.73	10	0
19	Ferrari	Leclerc	5.09	24	0
20	Ferrari	Leclerc	10.42	10	0
