Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Albon	2.02	32	25
2	Mercedes	Hamilton	2.27	32	18
3	Red Bull	Albon	2.33	43	0
4	Ferrari	Vettel	2.4	43	15
5	Renault	Ricciardo	2.44	27	12
6	Mercedes	Hamilton	2.51	44	0
7	AlphaTauri	Kvyat	2.59	43	10
8	Racing Point	Perez	2.7	43	8
9	Mercedes	Bottas	2.74	31	6
10	Renault	Ricciardo	2.76	43	0
11	Ferrari	Vettel	2.78	28	0
12	Racing Point	Stroll	2.79	30	4
13	McLaren	Norris	2.85	29	2
14	Mercedes	Bottas	2.92	43	0
15	Racing Point	Perez	2.98	28	0
16	AlphaTauri	Kvyat	3.01	29	0
17	Williams	Russell	3.1	43	1
18	Ferrari	Leclerc	3.14	37	0
19	Williams	Russell	3.28	29	0
20	Haas	Grosjean	3.3	28	0
21	Haas	Grosjean	3.34	42	0
22	Ferrari	Leclerc	3.4	21	0
23	McLaren	Norris	3.95	43	0
24	Haas	Grosjean	4	7	0
25	Alfa Romeo	Raikkonen	8.47	42	0
26	Alfa Romeo	Raikkonen	9.85	1	0
27	Ferrari	Vettel	12.84	1	0
28	Alfa Romeo	Raikkonen	12.94	27	0
