Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.15	40	25
2	Mercedes	Bottas	2.18	31	18
3	Alpine	Alonso	2.35	33	15
4	Aston Martin	Vettel	2.36	10	12
5	Aston Martin	Vettel	2.43	44	0
6	Williams	Russell	2.44	27	10
7	Alfa Romeo	Giovinazzi	2.49	27	8
8	Red Bull	Perez	2.51	47	6
9	Mercedes	Hamilton	2.53	39	4
10	Red Bull	Perez	2.55	8	0
11	Red Bull	Verstappen	2.74	21	0
12	Alpine	Ocon	2.83	31	2
13	Aston Martin	Stroll	2.87	27	1
14	McLaren	Ricciardo	2.97	30	0
15	AlphaTauri	Gasly	2.99	24	0
16	Ferrari	Leclerc	3.02	34	0
17	Alfa Romeo	Kubica	3.03	40	0
18	Alfa Romeo	Giovinazzi	3.29	33	0
19	Haas	Mazepin	3.44	33	0
20	Williams	Latifi	3.56	23	0
21	Mercedes	Hamilton	3.57	70	0
22	Ferrari	Sainz	3.6	31	0
23	AlphaTauri	Tsunoda	3.63	31	0
24	Mercedes	Hamilton	3.68	20	0
25	McLaren	Norris	4.07	42	0
26	Mercedes	Bottas	5.09	67	0
27	Haas	Schumacher	8.03	30	0
28	Williams	Russell	8.44	68	0
29	Haas	Schumacher	18.72	4	0
