Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.15	36	25
2	Aston Martin	Vettel	2.28	37	18
3	Mercedes	Hamilton	2.36	50	15
4	Mercedes	Bottas	2.52	37	12
5	Red Bull	Perez	2.56	37	10
6	Alfa Romeo	Giovinazzi	2.7	40	8
7	McLaren	Ricciardo	2.81	21	6
8	Alfa Romeo	Raikkonen	2.9	37	4
9	McLaren	Norris	3.1	34	2
10	Ferrari	Leclerc	3.1	47	1
11	Haas	Mazepin	3.14	35	0
12	AlphaTauri	Tsunoda	3.18	35	0
13	Williams	Russell	3.22	35	0
14	Aston Martin	Vettel	3.24	36	0
15	Haas	Schumacher	3.33	39	0
16	Williams	Latifi	3.58	34	0
17	Ferrari	Sainz	8.12	36	0
18	Alpine	Alonso	8.89	30	0
19	AlphaTauri	Gasly	9.28	39	0
20	Aston Martin	Stroll	15.88	39	0
