Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Mercedes	Bottas	2.24	28	25
2	Red Bull	Verstappen	2.27	27	18
3	Alpine	Ocon	2.33	27	15
4	Alpine	Ocon	2.43	31	0
5	Alfa Romeo	Raikkonen	2.48	26	12
6	Williams	Russell	2.51	26	10
7	Ferrari	Sainz	2.63	27	8
8	Ferrari	Leclerc	2.67	28	6
9	Aston Martin	Vettel	2.69	20	4
10	Alpine	Ocon	2.71	1	0
11	Alfa Romeo	Giovinazzi	2.76	40	0
12	AlphaTauri	Gasly	2.78	14	2
13	Alpine	Alonso	2.86	28	1
14	McLaren	Norris	2.87	28	0
15	AlphaTauri	Tsunoda	3.06	25	0
16	Aston Martin	Stroll	3.08	27	0
17	Haas	Mazepin	3.28	12	0
18	Haas	Mazepin	3.35	23	0
19	Aston Martin	Vettel	3.43	3	0
20	AlphaTauri	Gasly	3.75	26	0
21	Haas	Schumacher	4.03	21	0
22	Mercedes	Hamilton	4.04	28	0
23	Alfa Romeo	Giovinazzi	4.72	27	0
24	McLaren	Ricciardo	6.41	27	0
25	Mercedes	Hamilton	10	31	0
26	Aston Martin	Vettel	10.27	22	0
27	Red Bull	Perez	16.94	28	0
28	Haas	Schumacher	21.38	5	0
