Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	1.98	64	25
2	Aston Martin	Stroll	2.08	39	18
3	Ferrari	Sainz	2.26	21	15
4	AlphaTauri	Gasly	2.26	24	12
5	AlphaTauri	Tsunoda	2.37	21	10
6	Red Bull	Verstappen	2.38	35	0
7	Alpine	Alonso	2.41	40	8
8	Williams	Latifi	2.42	24	6
9	Alpine	Ocon	2.5	22	4
10	Alfa Romeo	Giovinazzi	2.54	22	2
11	Mercedes	Hamilton	2.58	37	1
12	Red Bull	Perez	2.69	51	0
13	Mercedes	Bottas	2.71	63	0
14	Williams	Russell	2.79	28	0
15	Mercedes	Bottas	2.84	36	0
16	Aston Martin	Vettel	2.92	22	0
17	Haas	Mazepin	2.93	31	0
18	Haas	Mazepin	2.93	43	0
19	Haas	Schumacher	3.14	32	0
20	McLaren	Norris	3.3	22	0
21	Ferrari	Leclerc	3.48	25	0
22	McLaren	Ricciardo	4.88	41	0
