Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Perez	2.04	24	25
2	Mercedes	Hamilton	2.2	19	18
3	McLaren	Ricciardo	2.32	16	15
4	Williams	Latifi	2.33	18	12
5	Red Bull	Verstappen	2.36	18	10
6	Williams	Russell	2.44	17	8
7	Alpine	Ocon	2.51	28	6
8	Mercedes	Bottas	2.55	17	4
9	Red Bull	Verstappen	2.56	32	0
10	McLaren	Norris	2.62	24	2
11	AlphaTauri	Tsunoda	2.71	15	1
12	Ferrari	Sainz	2.73	17	0
13	Alfa Romeo	Giovinazzi	2.98	28	0
14	AlphaTauri	Gasly	3.13	17	0
15	Aston Martin	Stroll	3.24	34	0
16	Ferrari	Leclerc	3.33	14	0
17	Haas	Mazepin	3.38	31	0
18	Alpine	Alonso	3.72	18	0
19	Ferrari	Leclerc	3.72	38	0
20	Aston Martin	Vettel	3.98	37	0
21	Haas	Schumacher	4.06	15	0
22	Alfa Romeo	Raikkonen	4.11	33	0
