Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.09	29	25
2	Aston Martin	Stroll	2.22	28	18
3	Alpine	Alonso	2.24	27	15
4	Ferrari	Sainz	2.26	41	12
5	Mercedes	Hamilton	2.27	28	10
6	Red Bull	Perez	2.28	54	8
7	Alfa Romeo	Giovinazzi	2.38	23	6
8	McLaren	Norris	2.38	31	4
9	AlphaTauri	Tsunoda	2.39	26	2
10	McLaren	Ricciardo	2.49	41	1
11	Alpine	Ocon	2.57	36	0
12	Mercedes	Bottas	2.64	27	0
13	Aston Martin	Vettel	2.7	27	0
14	Alfa Romeo	Raikkonen	2.73	36	0
15	Mercedes	Hamilton	2.79	69	0
16	Ferrari	Leclerc	3.06	37	0
17	Williams	Latifi	3.44	25	0
18	Haas	Schumacher	3.57	33	0
19	Haas	Mazepin	3.76	21	0
20	Red Bull	Perez	4.85	26	0
21	Williams	Latifi	6.46	1	0
22	Ferrari	Leclerc	9.75	1	0
23	Williams	Russell	18.37	25	0
24	Williams	Russell	27.39	26	0
