Pos.	Team	Driver	Time (sec)	Lap	Points
1	Alpine	Alonso	2.43	33	25
2	Aston Martin	Stroll	2.45	15	18
3	Ferrari	Sainz	2.57	20	15
4	Red Bull	Verstappen	2.6	39	12
5	McLaren	Norris	2.61	40	10
6	Williams	Latifi	2.62	39	8
7	Red Bull	Perez	2.68	29	6
8	Alpine	Alonso	2.68	39	0
9	Ferrari	Sainz	2.7	39	0
10	Ferrari	Leclerc	2.83	25	4
11	McLaren	Norris	2.86	34	0
12	Williams	Latifi	2.97	19	0
13	Red Bull	Verstappen	3.14	12	0
14	McLaren	Ricciardo	3.17	38	2
15	Mercedes	Hamilton	3.18	39	1
16	Red Bull	Verstappen	3.18	23	0
17	Haas	Schumacher	3.33	19	0
18	AlphaTauri	Gasly	3.4	16	0
19	Aston Martin	Stroll	3.41	40	0
20	Aston Martin	Vettel	3.5	39	0
21	Haas	Magnussen	3.6	22	0
22	AlphaTauri	Tsunoda	3.62	38	0
23	Aston Martin	Vettel	4.09	6	0
24	McLaren	Ricciardo	4.18	20	0
25	Alpine	Ocon	4.24	22	0
26	Mercedes	Hamilton	4.37	33	0
27	McLaren	Ricciardo	4.45	32	0
28	Haas	Schumacher	4.82	39	0
29	AlphaTauri	Tsunoda	8.58	18	0
30	Red Bull	Perez	11.57	5	0
