Pos.	Team	Driver	Time (sec)	Lap	Points
1	McLaren	Ricciardo	2.25	12	25
2	Red Bull	Verstappen	2.33	58	18
3	Williams	Latifi	2.38	35	15
4	Ferrari	Sainz	2.39	27	12
5	Ferrari	Leclerc	2.41	49	10
6	Aston Martin	Stroll	2.42	29	8
7	Red Bull	Verstappen	2.46	36	0
8	Ferrari	Leclerc	2.59	58	0
9	Ferrari	Leclerc	2.61	26	0
10	AlphaTauri	Tsunoda	2.63	26	6
11	Alpine	Ocon	2.64	16	4
12	Ferrari	Sainz	2.67	50	0
13	AlphaTauri	Tsunoda	2.72	46	0
14	Alpine	Alonso	2.73	27	2
15	Mercedes	Russell	2.79	40	1
16	McLaren	Ricciardo	2.8	44	0
17	Alfa Romeo	Bottas	2.83	39	0
18	Aston Martin	Vettel	2.85	44	0
19	Williams	Latifi	2.88	12	0
20	Aston Martin	Stroll	2.91	48	0
21	Haas	Schumacher	3.14	16	0
22	Aston Martin	Vettel	3.19	20	0
23	Williams	Albon	3.19	41	0
24	Haas	Magnussen	3.25	41	0
25	Red Bull	Verstappen	3.26	13	0
26	Haas	Magnussen	3.27	15	0
27	Alpine	Ocon	3.27	44	0
28	Alpine	Alonso	3.3	57	0
29	Williams	Albon	3.4	11	0
30	Alfa Romeo	Zhou	3.48	24	0
31	AlphaTauri	Gasly	3.7	12	0
32	McLaren	Norris	3.73	14	0
33	Mercedes	Hamilton	3.88	51	0
34	Haas	Schumacher	3.97	43	0
35	Mercedes	Hamilton	4.17	28	0
36	Red Bull	Perez	4.28	1	0
37	Alpine	Alonso	4.62	58	0
38	Alfa Romeo	Bottas	5.77	6	0
39	McLaren	Norris	8.35	43	0
40	AlphaTauri	Gasly	8.63	40	0
41	Alfa Romeo	Zhou	9.66	46	0
42	Mercedes	Russell	19.23	11	0
