Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Verstappen	2.44	16	25
2	AlphaTauri	Gasly	2.53	18	18
3	McLaren	Ricciardo	2.75	18	15
4	Alpine	Alonso	2.9	18	12
5	Williams	Albon	3	18	10
6	Alfa Romeo	Bottas	3.08	36	8
7	Alfa Romeo	Bottas	3.1	18	0
8	Alfa Romeo	Zhou	3.13	9	6
9	Haas	Magnussen	3.18	18	4
10	Haas	Schumacher	3.48	9	2
11	Aston Martin	Vettel	3.58	19	1
12	Williams	Latifi	3.58	38	0
13	Williams	Latifi	3.7	19	0
14	McLaren	Norris	3.72	18	0
15	Mercedes	Hamilton	3.83	18	0
16	Haas	Schumacher	3.96	18	0
17	Mercedes	Russell	4.15	18	0
18	AlphaTauri	Tsunoda	4.2	11	0
19	Haas	Magnussen	4.32	8	0
20	Red Bull	Perez	5.29	18	0
21	Aston Martin	Stroll	6.48	18	0
22	Ferrari	Sainz	8.38	18	0
23	Ferrari	Sainz	9.38	42	0
24	Alpine	Ocon	11.1	18	0
25	Alfa Romeo	Zhou	16.28	22	0
