Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.19	42	25
2	McLaren	Ricciardo	2.26	15	18
3	McLaren	Ricciardo	2.29	46	0
4	Red Bull	Verstappen	2.33	16	15
5	Red Bull	Perez	2.33	18	0
6	Red Bull	Verstappen	2.41	38	0
7	Aston Martin	Stroll	2.51	46	12
8	Williams	Latifi	2.58	18	10
9	Williams	Albon	2.61	21	8
10	Ferrari	Leclerc	2.63	54	6
11	Aston Martin	Vettel	2.64	15	4
12	AlphaTauri	Gasly	2.65	46	2
13	AlphaTauri	Tsunoda	2.73	13	1
14	Aston Martin	Stroll	2.73	14	0
15	Mercedes	Russell	2.73	39	0
16	AlphaTauri	Gasly	2.74	17	0
17	McLaren	Norris	2.77	42	0
18	Mercedes	Hamilton	2.82	19	0
19	Alpine	Alonso	2.89	21	0
20	Ferrari	Leclerc	2.94	21	0
21	Ferrari	Leclerc	3.03	39	0
22	Alfa Romeo	Bottas	3.15	26	0
23	AlphaTauri	Tsunoda	3.2	33	0
24	Alfa Romeo	Zhou	3.21	27	0
25	AlphaTauri	Tsunoda	3.31	51	0
26	Mercedes	Hamilton	3.34	51	0
27	Haas	Schumacher	3.36	41	0
28	Williams	Latifi	3.46	39	0
29	Haas	Schumacher	3.7	21	0
30	Mercedes	Russell	3.75	16	0
31	Haas	Magnussen	3.78	67	0
32	Ferrari	Sainz	3.79	16	0
33	Haas	Magnussen	4.11	35	0
34	McLaren	Norris	4.5	14	0
35	Ferrari	Sainz	4.61	47	0
36	Alpine	Ocon	4.69	23	0
37	Williams	Albon	5.31	40	0
38	Aston Martin	Vettel	5.84	46	0
39	Alfa Romeo	Zhou	9.28	51	0
40	Williams	Latifi	9.9	56	0
41	Haas	Magnussen	10.79	6	0
42	Williams	Albon	11.79	2	0
