Pos.	Team	Driver	Time (sec)	Lap	Points
1	Alpine	Alonso	2.22	11	25
2	Red Bull	Perez	2.29	14	18
3	McLaren	Ricciardo	2.32	12	15
4	Red Bull	Verstappen	2.32	30	12
5	Ferrari	Sainz	2.42	11	10
6	AlphaTauri	Gasly	2.44	22	8
7	Red Bull	Perez	2.45	27	0
8	Ferrari	Sainz	2.46	25	0
9	McLaren	Norris	2.52	13	6
10	Mercedes	Russell	2.57	29	4
11	McLaren	Ricciardo	2.59	32	0
12	Mercedes	Russell	2.6	13	0
13	AlphaTauri	Gasly	2.63	10	0
14	Aston Martin	Vettel	2.71	33	2
15	Aston Martin	Stroll	2.77	26	1
16	Ferrari	Leclerc	2.77	42	0
17	Williams	Albon	2.78	10	0
18	Aston Martin	Vettel	2.84	14	0
19	Red Bull	Verstappen	2.89	15	0
20	Aston Martin	Stroll	2.93	15	0
21	Haas	Magnussen	3.01	27	0
22	Ferrari	Leclerc	3.06	25	0
23	Alpine	Ocon	3.09	12	0
24	Alfa Romeo	Zhou	3.1	28	0
25	McLaren	Norris	3.21	29	0
26	Alpine	Ocon	3.33	32	0
27	Alfa Romeo	Zhou	3.37	14	0
28	Williams	Latifi	3.38	34	0
29	Haas	Schumacher	3.62	14	0
30	Alpine	Alonso	3.66	25	0
31	Williams	Albon	3.69	26	0
32	Ferrari	Leclerc	3.88	3	0
33	Williams	Latifi	3.99	15	0
34	AlphaTauri	Tsunoda	4.06	30	0
35	Haas	Schumacher	4.41	30	0
36	Haas	Magnussen	6.2	11	0
37	AlphaTauri	Tsunoda	9.78	18	0
38	Williams	Latifi	15.22	3	0
