Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.09	14	25
2	Red Bull	Perez	2.32	40	0
3	AlphaTauri	Gasly	2.34	32	18
4	Aston Martin	Stroll	2.37	56	15
5	AlphaTauri	Gasly	2.38	56	0
6	McLaren	Norris	2.43	17	12
7	McLaren	Ricciardo	2.44	27	10
8	AlphaTauri	Gasly	2.49	11	0
9	Ferrari	Leclerc	2.5	17	8
10	Ferrari	Leclerc	2.51	45	0
11	Mercedes	Hamilton	2.6	29	6
12	Aston Martin	Vettel	2.61	35	4
13	McLaren	Ricciardo	2.62	11	0
14	AlphaTauri	Tsunoda	2.64	13	2
15	Aston Martin	Vettel	2.67	48	0
16	Red Bull	Perez	2.74	56	0
17	Williams	Albon	2.75	21	1
18	Ferrari	Leclerc	2.77	56	0
19	Mercedes	Hamilton	2.8	48	0
20	Alfa Romeo	Zhou	2.83	12	0
21	Mercedes	Russell	2.84	31	0
22	Red Bull	Verstappen	2.86	48	0
23	Ferrari	Sainz	2.96	57	0
24	McLaren	Ricciardo	2.98	47	0
25	Alfa Romeo	Zhou	3.01	55	0
26	Alpine	Alonso	3.04	12	0
27	Alpine	Ocon	3.04	18	0
28	Red Bull	Verstappen	3.07	56	0
29	Ferrari	Sainz	3.07	43	0
30	Williams	Albon	3.07	42	0
31	AlphaTauri	Tsunoda	3.12	42	0
32	Alfa Romeo	Bottas	3.16	16	0
33	McLaren	Norris	3.3	57	0
34	McLaren	Ricciardo	3.31	55	0
35	Red Bull	Verstappen	3.43	18	0
36	Aston Martin	Stroll	3.46	38	0
37	Williams	Latifi	3.46	54	0
38	Aston Martin	Stroll	3.5	16	0
39	Alfa Romeo	Bottas	3.54	34	0
40	Williams	Latifi	3.66	13	0
41	Haas	Schumacher	3.77	47	0
42	Mercedes	Russell	3.82	48	0
43	Mercedes	Russell	3.86	57	0
44	Williams	Albon	3.87	55	0
45	Williams	Latifi	4.06	26	0
46	Haas	Magnussen	4.29	14	0
47	McLaren	Norris	4.35	47	0
48	Haas	Magnussen	4.39	47	0
49	Alpine	Alonso	4.85	47	0
50	Haas	Schumacher	4.91	33	0
51	Alpine	Ocon	5.31	56	0
52	Aston Martin	Vettel	6.17	9	0
53	Haas	Magnussen	7.24	34	0
54	Alfa Romeo	Zhou	8.41	37	0
55	Haas	Schumacher	10.03	13	0
56	Ferrari	Sainz	12.79	14	0
57	AlphaTauri	Tsunoda	31.94	43	0
