Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.1	42	25
2	Red Bull	Perez	2.17	7	0
3	Ferrari	Leclerc	2.21	12	18
4	Ferrari	Leclerc	2.37	48	0
5	Ferrari	Sainz	2.39	30	15
6	Red Bull	Verstappen	2.48	25	12
7	AlphaTauri	Tsunoda	2.62	19	10
8	Aston Martin	Stroll	2.65	18	8
9	Ferrari	Leclerc	2.66	33	0
10	Mercedes	Russell	2.7	47	6
11	AlphaTauri	Tsunoda	2.7	47	0
12	Red Bull	Verstappen	2.79	48	0
13	Williams	Latifi	2.82	47	4
14	Alpine	Ocon	2.87	19	2
15	McLaren	Norris	3.04	47	1
16	Mercedes	Hamilton	3.07	33	0
17	Williams	de Vries	3.1	19	0
18	Ferrari	Sainz	3.12	47	0
19	Haas	Schumacher	3.28	33	0
20	Haas	Magnussen	3.29	46	0
21	McLaren	Ricciardo	3.4	19	0
22	Alfa Romeo	Bottas	3.51	35	0
23	Mercedes	Russell	3.61	23	0
24	Alfa Romeo	Zhou	3.64	18	0
25	AlphaTauri	Gasly	3.69	18	0
26	McLaren	Norris	5.13	35	0
27	Williams	Latifi	5.21	15	0
28	Haas	Magnussen	8.42	24	0
