Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Verstappen	2.46	35	25
2	Mercedes	Russell	2.49	35	18
3	Mercedes	Russell	2.5	51	0
4	Aston Martin	Stroll	2.56	35	15
5	Aston Martin	Vettel	2.65	34	12
6	Red Bull	Perez	2.8	35	10
7	AlphaTauri	Gasly	2.85	33	8
8	Red Bull	Verstappen	3	40	0
9	McLaren	Ricciardo	3.11	36	6
10	Mercedes	Russell	3.17	21	0
11	McLaren	Norris	3.3	36	4
12	Haas	Schumacher	3.39	34	2
13	Ferrari	Sainz	3.57	35	1
14	AlphaTauri	Tsunoda	3.93	33	0
15	Haas	Magnussen	4.98	33	0
16	Alfa Romeo	Bottas	5.1	33	0
17	Ferrari	Leclerc	5.31	34	0
18	Mercedes	Russell	5.47	41	0
19	Haas	Schumacher	5.8	41	0
20	Haas	Magnussen	11.44	7	0
21	Mercedes	Hamilton	13.89	34	0
