Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Perez	2.13	14	25
2	AlphaTauri	Tsunoda	2.14	33	18
3	McLaren	Norris	2.24	34	15
4	AlphaTauri	Gasly	2.26	11	12
5	AlphaTauri	Tsunoda	2.44	10	0
6	Alpine	Alonso	2.45	18	10
7	McLaren	Norris	2.46	14	0
8	Red Bull	Verstappen	2.63	13	8
9	Williams	Latifi	2.64	18	6
10	Mercedes	Russell	2.65	54	4
11	Aston Martin	Vettel	2.69	18	2
12	McLaren	Ricciardo	2.7	35	1
13	Mercedes	Hamilton	2.72	34	0
14	Ferrari	Leclerc	2.88	35	0
15	Mercedes	Hamilton	2.96	12	0
16	Williams	Albon	3.1	18	0
17	Alpine	Ocon	3.15	18	0
18	Mercedes	Russell	3.26	36	0
19	Haas	Schumacher	3.27	33	0
20	Alpine	Ocon	3.31	45	0
21	Alfa Romeo	Bottas	3.35	10	0
22	Williams	Albon	3.36	9	0
23	Alfa Romeo	Zhou	3.4	23	0
24	Ferrari	Leclerc	3.54	18	0
25	Haas	Schumacher	3.81	18	0
26	Red Bull	Perez	3.82	38	0
27	Aston Martin	Stroll	3.83	15	0
28	Williams	Latifi	3.91	5	0
29	McLaren	Ricciardo	4.49	10	0
30	Haas	Magnussen	5.1	18	0
31	Alfa Romeo	Zhou	5.61	9	0
32	AlphaTauri	Gasly	7.71	32	0
33	Mercedes	Russell	8.48	13	0
34	Red Bull	Verstappen	11.13	35	0
35	Alpine	Alonso	15.97	22	0
36	Aston Martin	Vettel	16.81	41	0
