Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Perez	2.04	23	25
2	AlphaTauri	Tsunoda	2.1	54	18
3	AlphaTauri	Tsunoda	2.13	40	0
4	AlphaTauri	Gasly	2.17	52	15
5	Ferrari	Sainz	2.18	36	12
6	Ferrari	Leclerc	2.23	21	10
7	Ferrari	Leclerc	2.23	44	0
8	AlphaTauri	Gasly	2.31	35	0
9	Ferrari	Sainz	2.38	53	0
10	Red Bull	Perez	2.38	47	0
11	Williams	Latifi	2.46	52	8
12	AlphaTauri	Gasly	2.46	19	0
13	Aston Martin	Stroll	2.48	29	6
14	Williams	Albon	2.48	47	4
15	Alpine	Ocon	2.49	24	2
16	AlphaTauri	Tsunoda	2.5	20	0
17	Williams	Albon	2.51	25	0
18	Alpine	Alonso	2.58	14	1
19	Aston Martin	Stroll	2.62	48	0
20	Mercedes	Hamilton	2.73	48	0
21	Alpine	Alonso	2.74	52	0
22	Mercedes	Russell	2.83	49	0
23	Alfa Romeo	Bottas	3	24	0
24	Mercedes	Russell	3.05	24	0
25	Alfa Romeo	Zhou	3.08	16	0
26	Red Bull	Verstappen	3.16	48	0
27	Aston Martin	Vettel	3.17	45	0
28	Haas	Schumacher	3.24	24	0
29	Aston Martin	Vettel	3.3	26	0
30	Mercedes	Hamilton	3.31	29	0
31	McLaren	Norris	3.33	45	0
32	Williams	Albon	3.34	4	0
33	Alpine	Ocon	3.38	47	0
34	Williams	Latifi	3.51	32	0
35	Alfa Romeo	Bottas	3.8	45	0
36	Alfa Romeo	Zhou	4.07	37	0
37	Ferrari	Sainz	4.1	17	0
38	Haas	Schumacher	4.18	46	0
39	Alpine	Alonso	6.13	35	0
40	McLaren	Norris	8.03	24	0	
41	Williams	Latifi	8.05	20	0
42	Ferrari	Leclerc	8.98	7	0
43	Red Bull	Verstappen	10.03	7	0
44	Red Bull	Verstappen	10.77	23	0
