Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	McLaren	Ricciardo	2.41	8	25
2	McLaren	Norris	2.51	16	18
3	Red Bull	Perez	2.53	15	15
4	Williams	Albon	2.55	13	12
5	Red Bull	Verstappen	2.6	16	10
6	Ferrari	Leclerc	2.62	16	8
7	Ferrari	Sainz	2.7	16	6
8	Mercedes	Russell	3.07	16	4
9	Alpine	Alonso	3.31	16	2
10	Alpine	Ocon	3.35	16	1
11	Aston Martin	Hulkenberg	3.35	37	0
12	Mercedes	Hamilton	3.94	40	0
13	Aston Martin	Stroll	4.43	13	0
14	Alfa Romeo	Bottas	4.66	35	0
15	Haas	Magnussen	4.72	37	0
16	AlphaTauri	Gasly	4.94	15	0
17	Alfa Romeo	Bottas	5.22	16	0
18	Alfa Romeo	Zhou	15.57	16	0
