Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Perez	2.27	20	25
2	McLaren	Norris	2.42	20	18
3	McLaren	Ricciardo	2.42	21	15
4	Williams	Latifi	2.53	23	12
5	Ferrari	Leclerc	2.71	22	10
6	Mercedes	Hamilton	2.79	22	8
7	Red Bull	Verstappen	2.9	18	6
8	Aston Martin	Stroll	3.02	3	4
9	Aston Martin	Stroll	3.07	4	0
10	AlphaTauri	Tsunoda	3.08	18	2
11	Alfa Romeo	Zhou	3.15	21	1
12	Alpine	Alonso	3.18	53	0
13	Alfa Romeo	Bottas	3.19	22	0
14	Williams	Latifi	3.2	13	0
15	Mercedes	Russell	3.48	23	0
16	Haas	Schumacher	3.52	14	0
17	Alpine	Alonso	3.59	39	0
18	AlphaTauri	Gasly	3.69	21	0
19	Haas	Magnussen	3.87	39	0
20	Alpine	Ocon	3.94	17	0
21	Williams	Albon	4.78	57	0
22	Aston Martin	Stroll	4.86	23	0
