Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Perez	2.33	41	25
2	Red Bull	Perez	2.37	27	0
3	Aston Martin	Stroll	2.45	40	18
4	Red Bull	Verstappen	2.49	26	15
5	AlphaTauri	Gasly	2.55	40	12
6	McLaren	Ricciardo	2.59	41	10
7	Mercedes	Russell	2.64	40	8
8	AlphaTauri	Tsunoda	2.68	11	6
9	Mercedes	Hamilton	2.74	22	4
10	McLaren	Ricciardo	2.77	30	0
11	Alpine	Ocon	2.85	41	2
12	Williams	Latifi	3.12	34	1
13	Ferrari	Leclerc	3.27	24	0
14	AlphaTauri	Tsunoda	3.32	41	0
15	Haas	Magnussen	3.35	12	0
16	AlphaTauri	Gasly	3.35	16	0
17	Alfa Romeo	Bottas	3.44	26	0
18	Aston Martin	Vettel	3.48	41	0
19	Williams	Albon	3.53	16	0
20	McLaren	Norris	3.6	18	0
21	Haas	Schumacher	3.93	14	0
22	Haas	Magnussen	4.34	42	0
23	Ferrari	Sainz	5.47	27	0
24	Alpine	Alonso	5.77	15	0
25	Haas	Schumacher	15.71	54	0
