Pos.	Team	Driver	Time (sec)	Lap	Points
1	Ferrari	Leclerc	2.23	21	25
2	Ferrari	Sainz	2.37	31	18
3	Red Bull	Verstappen	2.49	44	15
4	Red Bull	Perez	2.5	53	12
5	Alpine	Ocon	2.52	52	10
6	McLaren	Norris	2.55	12	8
7	McLaren	Ricciardo	2.57	11	6
8	AlphaTauri	Gasly	2.57	46	4
9	Alpine	Alonso	2.58	31	2
10	Red Bull	Verstappen	2.59	28	0
11	AlphaTauri	Gasly	2.61	10	0
12	Red Bull	Verstappen	2.62	13	0
13	Mercedes	Hamilton	2.65	22	1
14	Alpine	Ocon	2.66	13	0
15	Mercedes	Russell	2.68	36	0
16	McLaren	Ricciardo	2.69	48	0
17	Mercedes	Russell	2.73	13	0
18	McLaren	Norris	2.76	51	0
19	Ferrari	Sainz	2.78	10	0
20	Red Bull	Perez	2.82	37	0
21	Red Bull	Perez	2.83	17	0
22	Alfa Romeo	Bottas	2.87	34	0
23	Aston Martin	Vettel	2.89	42	0
24	Ferrari	Sainz	2.92	45	0
25	McLaren	Ricciardo	2.93	31	0
26	Alpine	Alonso	3	10	0
27	Mercedes	Hamilton	3.03	48	0
28	Aston Martin	Vettel	3.08	21	0
29	AlphaTauri	Tsunoda	3.19	52	0
30	Williams	Latifi	3.23	50	0
31	Alfa Romeo	Bottas	3.28	14	0
32	Williams	Latifi	3.35	26	0
33	Williams	Albon	3.4	54	0
34	Mercedes	Russell	3.44	51	0
35	Alfa Romeo	Zhou	3.49	10	0
36	Williams	Albon	3.53	25	0
37	Alpine	Ocon	3.55	35	0
38	Williams	Latifi	3.65	12	0
39	Aston Martin	Stroll	3.65	14	0
40	Aston Martin	Stroll	3.69	27	0
41	Williams	Albon	3.73	45	0
42	Haas	Schumacher	3.77	30	0
43	Haas	Schumacher	3.86	12	0
44	AlphaTauri	Tsunoda	3.93	32	0
45	McLaren	Norris	3.95	33	0
46	AlphaTauri	Tsunoda	3.96	11	0
47	Haas	Magnussen	4.1	29	0
48	Williams	Albon	4.16	11	0
49	Aston Martin	Stroll	4.29	46	0
50	Alpine	Alonso	5.99	53	0
51	AlphaTauri	Gasly	8.56	29	0
52	Haas	Magnussen	8.63	1	0
53	Mercedes	Hamilton	10.42	1	0
