Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.3	16	25
2	McLaren	Norris	2.38	17	18
3	Alpine	Alonso	2.42	21	15
4	Aston Martin	Vettel	2.51	6	12
5	Ferrari	Sainz	2.51	21	10
6	McLaren	Norris	2.53	22	0
7	Mercedes	Hamilton	2.56	22	8
8	Red Bull	Perez	2.6	22	0
9	AlphaTauri	Tsunoda	2.66	6	6
10	Alpine	Ocon	2.67	21	4
11	Ferrari	Leclerc	2.71	18	2
12	Aston Martin	Vettel	2.74	23	0
13	Mercedes	Hamilton	2.77	15	0
14	McLaren	Norris	2.84	51	0
15	Aston Martin	Stroll	2.92	24	1
16	Mercedes	Russell	2.97	21	0
17	Ferrari	Leclerc	3.05	21	0
18	Alfa Romeo	Zhou	3.06	19	0
19	Aston Martin	Stroll	3.19	1	0
20	Red Bull	Verstappen	3.24	22	0
21	Alfa Romeo	Bottas	3.31	20	0
22	AlphaTauri	Tsunoda	3.39	56	0
23	McLaren	Ricciardo	3.65	19	0
24	Williams	Latifi	3.88	19	0
25	AlphaTauri	Tsunoda	3.95	21	0
26	Williams	Albon	4.62	18	0
27	Red Bull	Verstappen	4.89	18	0
28	Haas	Schumacher	5.49	4	0
29	AlphaTauri	Gasly	6.49	22	0
30	Aston Martin	Stroll	7.91	2	0
31	Williams	Albon	7.98	22	0
32	AlphaTauri	Gasly	12.68	2	0
33	Williams	Latifi	13.26	2	0
34	Williams	Latifi	13.32	1	0
35	Haas	Schumacher	14.45	17	0
