Pos.	Team	Driver	Time (sec)	Lap	Points
1	Alpine	Alonso	2.74	18	25
2	Red Bull	Verstappen	2.77	33	18
3	Mercedes	Russell	2.83	9	15
4	Aston Martin	Vettel	2.86	9	12
5	Mercedes	Russell	2.89	33	0
6	Mercedes	Hamilton	3.24	33	10
7	Alfa Romeo	Bottas	3.28	33	8
8	McLaren	Ricciardo	3.51	33	6
9	Haas	Magnussen	3.53	9	4
10	Red Bull	Verstappen	3.59	18	0
11	Williams	Albon	3.6	29	2
12	McLaren	Norris	3.61	20	1
13	Mercedes	Hamilton	3.69	9	0
14	Williams	Latifi	3.85	17	0
15	Haas	Schumacher	3.88	23	0
16	Aston Martin	Stroll	3.89	30	0
17	Red Bull	Perez	4.46	33	0
18	AlphaTauri	Tsunoda	4.5	9	0
19	Alpine	Ocon	4.91	33	0
20	AlphaTauri	Gasly	5	9	0
21	Ferrari	Leclerc	5.41	9	0
22	Red Bull	Perez	5.76	16	0
23	Alfa Romeo	Zhou	5.9	9	0
24	Williams	Albon	7.9	9	0
25	Haas	Schumacher	8.47	9	0
26	AlphaTauri	Tsunoda	21.41	38	0
