Pos.	Team	Driver	Time (sec)	Lap	Points
1	Williams	Albon	2.38	48	25
2	AlphaTauri	Tsunoda	2.39	47	18
3	AlphaTauri	Tsunoda	2.42	9	0
4	Aston Martin	Vettel	2.46	5	15
5	Red Bull	Verstappen	2.47	43	12
6	Williams	Latifi	2.5	9	10
7	AlphaTauri	Gasly	2.51	5	8
8	Aston Martin	Vettel	2.54	19	0
9	Williams	Albon	2.6	18	0
10	AlphaTauri	Gasly	2.65	36	0
11	Mercedes	Russell	2.73	19	6
12	Alpine	Ocon	2.76	49	4
13	Alpine	Alonso	2.81	28	2
14	Red Bull	Verstappen	2.81	9	0
15	Mercedes	Hamilton	2.85	44	1
16	Mercedes	Russell	3.09	45	0
17	Mercedes	Hamilton	3.14	9	0
18	Ferrari	Sainz	3.17	20	0
19	Alfa Romeo	Zhou	3.21	19	0
20	McLaren	Norris	3.39	19	0
21	McLaren	Ricciardo	3.55	49	0
22	Alfa Romeo	Zhou	3.65	49	0
23	Ferrari	Sainz	3.74	49	0
24	Alpine	Alonso	3.81	49	0
25	Aston Martin	Stroll	4.19	47	0
26	Alfa Romeo	Bottas	4.47	49	0
27	Alpine	Ocon	4.84	19	0
28	Ferrari	Leclerc	5.31	41	0
29	McLaren	Ricciardo	6.41	19	0
30	Williams	Latifi	9.11	37	0
31	Haas	Magnussen	17.52	7	0
32	McLaren	Norris	19.68	42	0
