Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	2.07 	34 	25
2 	Alpine 	Gasly 	2.22 	18 	18
3 	Ferrari 	Sainz 	2.23 	35 	15
4 	AlphaTauri 	Tsunoda 	2.30 	54 	12
5 	Red Bull 	Perez 	2.45 	37 	10
6 	Aston Martin 	Stroll 	2.45 	40 	8
7 	Red Bull 	Verstappen 	2.53 	16 	6
8 	Ferrari 	Sainz 	2.54 	17 	0
9 	Mercedes 	Russell 	2.58 	39 	4
10 	Aston Martin 	Stroll 	2.81 	20 	0
11 	AlphaTauri 	Ricciardo 	2.82 	22 	2
12 	AlphaTauri 	Tsunoda 	2.82 	17 	0
13 	Mercedes 	Russell 	2.82 	21 	0
14 	McLaren 	Norris 	2.83 	17 	0
15 	Red Bull 	Perez 	2.88 	17 	0
16 	AlphaTauri 	Tsunoda 	2.98 	34 	0
17 	Haas 	Hulkenberg 	3.07 	34 	1
18 	Ferrari 	Leclerc 	3.09 	23 	0
19 	Alfa Romeo 	Bottas 	3.11 	10 	0
20 	Aston Martin 	Alonso 	3.12 	42 	0
21 	Alfa Romeo 	Zhou 	3.17 	27 	0
22 	Williams 	Albon 	3.18 	10 	0
23 	Aston Martin 	Alonso 	3.26 	19 	0
24 	Haas 	Magnussen 	3.33 	29 	0
25 	Alpine 	Gasly 	3.38 	37 	0
26 	Red Bull 	Verstappen 	3.39 	35 	0
27 	Mercedes 	Hamilton 	3.41 	38 	0
28 	Williams 	Albon 	3.44 	29 	0
29 	Alfa Romeo 	Bottas 	3.50 	28 	0
30 	Haas 	Magnussen 	3.56 	10 	0
31 	Mercedes 	Hamilton 	3.64 	20 	0
32 	Williams 	Sargeant 	3.67 	11 	0
33 	Alfa Romeo 	Zhou 	4.12 	9 	0
34 	Haas 	Hulkenberg 	4.35 	19 	0
35 	Williams 	Sargeant 	4.40 	32 	0
36 	AlphaTauri 	Ricciardo 	4.80 	47 	0
