Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	1.95 	51 	25
2 	Ferrari 	Sainz 	2.07 	22 	18
3 	Red Bull 	Perez 	2.10 	21 	15
4 	McLaren 	Piastri 	2.10 	51 	12
5 	McLaren 	Piastri 	2.13 	25 	0
6 	Alpine 	Gasly 	2.20 	20 	10
7 	Alpine 	Ocon 	2.20 	43 	8
8 	RB 	Ricciardo 	2.25 	37 	6
9 	RB 	Tsunoda 	2.31 	21 	4
10 	Mercedes 	Russell 	2.31 	46 	2
11 	Ferrari 	Leclerc 	2.37 	16 	0
12 	Aston Martin 	Stroll 	2.40 	43 	1
13 	Ferrari 	Sainz 	2.42 	47 	0
14 	Aston Martin 	Alonso 	2.43 	11 	0
15 	Aston Martin 	Stroll 	2.43 	20 	0
16 	Sauber 	Zhou 	2.56 	51 	0
17 	RB 	Ricciardo 	2.57 	10 	0
18 	Mercedes 	Hamilton 	2.59 	21 	0
19 	Mercedes 	Russell 	2.60 	22 	0
20 	McLaren 	Norris 	2.67 	23 	0
21 	Sauber 	Bottas 	2.68 	19 	0
22 	Red Bull 	Verstappen 	2.73 	23 	0
23 	Williams 	Albon 	2.75 	39 	0
24 	RB 	Tsunoda 	2.79 	44 	0
25 	Haas 	Magnussen 	2.79 	10 	0
26 	Haas 	Hulkenberg 	2.82 	39 	0
27 	Alpine 	Ocon 	2.86 	19 	0
28 	Sauber 	Bottas 	2.88 	42 	0
29 	McLaren 	Norris 	2.90 	51 	0
30 	Williams 	Sargeant 	2.98 	49 	0
31 	Haas 	Magnussen 	2.99 	38 	0
32 	Red Bull 	Verstappen 	3.04 	64 	0
33 	Williams 	Albon 	3.05 	12 	0
34 	Alpine 	Gasly 	3.05 	42 	0
35 	Williams 	Sargeant 	3.26 	20 	0
36 	Ferrari 	Leclerc 	3.29 	33 	0
37 	Aston Martin 	Alonso 	3.36 	68 	0
38 	Haas 	Hulkenberg 	3.43 	11 	0
39 	Sauber 	Zhou 	3.90 	28 	0
40 	Red Bull 	Verstappen 	6.59 	51 	0
41 	Mercedes 	Hamilton 	8.44 	53 	0
42 	Red Bull 	Perez 	8.56 	51 	0
43 	Williams 	Sargeant 	12.49 	1 	0
44 	Ferrari 	Leclerc 	12.83 	1 	0
45 	Aston Martin 	Alonso 	14.40 	35 	0
