Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	2.21 	31 	25
2 	Red Bull 	Perez 	2.38 	26 	18
3 	RB 	Lawson 	2.51 	36 	15
4 	Alpine 	Ocon 	2.54 	31 	12
5 	Ferrari 	Leclerc 	2.59 	26 	10
6 	Haas 	Magnussen 	2.65 	17 	8
7 	RB 	Tsunoda 	2.65 	18 	6
8 	Ferrari 	Sainz 	2.66 	21 	4
9 	McLaren 	Piastri 	2.67 	32 	2
10 	Aston Martin 	Alonso 	2.76 	26 	1
11 	Red Bull 	Verstappen 	2.77 	25 	0
12 	Sauber 	Zhou 	2.80 	13 	0
13 	Sauber 	Bottas 	2.99 	15 	0
14 	Haas 	Magnussen 	3.03 	38 	0
15 	Haas 	Hulkenberg 	3.04 	27 	0
16 	Williams 	Albon 	3.06 	33 	0
17 	Sauber 	Zhou 	3.34 	35 	0
18 	Williams 	Colapinto 	3.39 	39 	0
19 	Alpine 	Ocon 	4.68 	51 	0
20 	Aston Martin 	Stroll 	4.79 	27 	0
21 	Alpine 	Gasly 	6.99 	18 	0
22 	Mercedes 	Russell 	8.04 	40 	0
23 	Williams 	Albon 	12.53 	3 	0
