Pos.	Team	Driver	Time (sec)	Lap	Points
1	Ferrari	Leclerc	2.23	11	25
2	Ferrari	Sainz	2.27	35	18
3	Red Bull	Verstappen	2.27	37	15
4	Red Bull	Perez	2.29	12	12
5	McLaren	Norris	2.33	13	10
6	RB	Tsunoda	2.34	34	8
7	Ferrari	Leclerc	2.37	34	
8	RB	Tsunoda	2.51	14	
9	Mercedes	Hamilton	2.51	33	6
10	Haas	Magnussen	2.56	32	4
11	Aston Martin	Stroll	2.57	9	2
12	Ferrari	Sainz	2.6	14	
13	Alpine	Ocon	2.64	10	1
14	RB	Ricciardo	2.73	35	
15	Haas	Hulkenberg	2.74	41	
16	Red Bull	Perez	2.76	36	
17	Sauber	Zhou	2.77	28	
18	Haas	Hulkenberg	2.79	20	
19	Mercedes	Russell	2.81	11	
20	RB	Ricciardo	2.83	13	
21	Williams	Albon	2.84	36	
22	Aston Martin	Stroll	2.85	27	
23	Mercedes	Russell	2.94	31	
24	McLaren	Norris	2.94	33	
25	Red Bull	Verstappen	2.97	17	
26	Williams	Albon	3.01	15	
27	Alpine	Ocon	3.01	30	
28	Sauber	Zhou	3.03	9	
29	Aston Martin	Alonso	3.14	15	
30	Williams	Sargeant	3.15	28	
31	McLaren	Piastri	3.2	34	
32	Aston Martin	Alonso	3.26	41	
33	Mercedes	Hamilton	3.4	12	
34	Alpine	Gasly	3.42	43	
35	Williams	Sargeant	3.45	40	
36	McLaren	Piastri	3.57	12	
37	Haas	Magnussen	3.88	11	
38	Sauber	Bottas	4.3	12	
39	Alpine	Gasly	4.37	31	
40	Alpine	Gasly	8.03	12	
41	Williams	Sargeant	13.54	10	
42	Haas	Hulkenberg	14.35	1	
43	Sauber	Bottas	52.44	30	
