Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Piastri 	1.90 	39 	25
2 	Red Bull 	Perez 	2.16 	68 	18
3 	McLaren 	Norris 	2.38 	30 	15
4 	Red Bull 	Perez 	2.47 	43 	0
5 	Ferrari 	Sainz 	2.49 	32 	12
6 	Sauber 	Bottas 	2.54 	49 	10
7 	Aston Martin 	Stroll 	2.57 	26 	8
8 	Mercedes 	Hamilton 	2.81 	28 	6
9 	Mercedes 	Russell 	2.81 	31 	4
10 	RB 	Lawson 	2.82 	39 	2
11 	Ferrari 	Leclerc 	2.89 	69 	1
12 	Sauber 	Zhou 	2.98 	43 	0
13 	Ferrari 	Leclerc 	3.03 	31 	0
14 	Haas 	Hulkenberg 	3.20 	29 	0
15 	Alpine 	Ocon 	3.24 	48 	0
16 	Alpine 	Gasly 	3.32 	28 	0
17 	Haas 	Magnussen 	3.85 	30 	0
18 	Williams 	Colapinto 	4.45 	47 	0
19 	Red Bull 	Perez 	8.00 	20 	0
20 	RB 	Lawson 	10.41 	65 	0
21 	Red Bull 	Verstappen 	24.05 	26 	0
