Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Verstappen 	2.09 	11 	25
2 	McLaren 	Norris 	2.12 	30 	18
3 	Ferrari 	Sainz 	2.27 	28 	15
4 	RB 	Lawson 	2.28 	38 	12
5 	Ferrari 	Sainz 	2.31 	10 	0
6 	RB 	Tsunoda 	2.34 	10 	10
7 	Mercedes 	Russell 	2.40 	12 	8
8 	Red Bull 	Perez 	2.41 	17 	6
9 	Mercedes 	Russell 	2.41 	32 	0
10 	Alpine 	Ocon 	2.43 	12 	4
11 	Red Bull 	Perez 	2.44 	32 	0
12 	McLaren 	Piastri 	2.46 	25 	2
13 	Ferrari 	Leclerc 	2.50 	9 	1
14 	RB 	Lawson 	2.50 	11 	0
15 	McLaren 	Norris 	2.54 	9 	0
16 	RB 	Tsunoda 	2.56 	29 	0
17 	McLaren 	Norris 	2.57 	48 	0
18 	Haas 	Hulkenberg 	2.60 	14 	0
19 	Aston Martin 	Alonso 	2.63 	4 	0
20 	Mercedes 	Hamilton 	2.65 	27 	0
21 	Haas 	Magnussen 	2.66 	17 	0
22 	Aston Martin 	Stroll 	2.69 	28 	0
23 	Mercedes 	Hamilton 	2.73 	13 	0
24 	Williams 	Colapinto 	2.74 	16 	0
25 	Sauber 	Bottas 	2.77 	17 	0
26 	Williams 	Colapinto 	2.78 	26 	0
27 	Sauber 	Zhou 	2.81 	34 	0
28 	Haas 	Hulkenberg 	2.87 	33 	0
29 	Alpine 	Ocon 	2.90 	45 	0
30 	Ferrari 	Leclerc 	2.91 	31 	0
31 	Aston Martin 	Alonso 	2.99 	24 	0
32 	Williams 	Albon 	3.29 	9 	0
33 	Alpine 	Gasly 	3.30 	10 	0
34 	Red Bull 	Verstappen 	3.42 	27 	0
35 	Sauber 	Bottas 	3.90 	35 	0
36 	Sauber 	Zhou 	3.99 	11 	0
37 	McLaren 	Piastri 	8.95 	10 	0
38 	Aston Martin 	Stroll 	14.68 	9 	0
