Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Verstappen	2.44	7	25
2	Mercedes	Hamilton	2.51	36	18
3	Red Bull	Perez	2.7	7	15
4	Aston Martin	Alonso	2.74	7	12
5	Mercedes	Russell	2.97	7	10
6	Haas	Hulkenberg	3.03	33	8
7	McLaren	Piastri	3.28	7	6
8	Haas	Magnussen	3.29	7	4
9	Ferrari	Bearman	3.48	7	2
10	RB	Tsunoda	3.59	7	1
11	Sauber	Bottas	3.62	35	
12	Williams	Albon	3.66	7	
13	McLaren	Norris	4.04	37	
14	Alpine	Ocon	4.05	7	
15	Sauber	Bottas	5.14	7	
16	Ferrari	Leclerc	5.31	7	
17	Williams	Sargeant	5.36	7	
18	Sauber	Zhou	28.71	41	
19	RB	Ricciardo	41.61	7	
