Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Verstappen	1.9	23	25
2	Red Bull	Perez	2	13	18
3	Red Bull	Perez	2.05	23	
4	Red Bull	Verstappen	2.18	13	
5	McLaren	Norris	2.2	22	15
6	RB	Tsunoda	2.24	8	12
7	McLaren	Piastri	2.27	24	10
8	RB	Tsunoda	2.28	23	
9	RB	Ricciardo	2.37	14	8
10	Ferrari	Leclerc	2.37	21	6
11	Ferrari	Sainz	2.4	17	4
12	Mercedes	Hamilton	2.43	9	2
13	Mercedes	Russell	2.45	23	1
14	Aston Martin	Alonso	2.48	23	
15	Mercedes	Russell	2.51	11	
16	Williams	Sargeant	2.66	24	
17	Mercedes	Hamilton	2.67	21	
18	Aston Martin	Stroll	2.69	21	
19	Haas	Magnussen	2.7	17	
20	Alpine	Gasly	2.7	38	
21	Aston Martin	Alonso	2.71	11	
22	Alpine	Ocon	2.78	9	
23	Sauber	Bottas	2.82	9	
24	McLaren	Piastri	2.83	16	
25	Aston Martin	Alonso	2.91	43	
26	Haas	Hulkenberg	2.93	8	
27	Alpine	Ocon	2.99	23	
28	Sauber	Zhou	3.02	8	
29	Haas	Hulkenberg	3.02	23	
30	Williams	Albon	3.2	9	
31	Williams	Sargeant	3.2	12	
32	Sauber	Zhou	3.27	40	
33	Williams	Albon	3.37	23	
34	Aston Martin	Stroll	3.4	9	
35	Alpine	Gasly	3.5	23	
36	Haas	Magnussen	3.79	27	
37	Sauber	Zhou	5.37	23	
38	Aston Martin	Stroll	13.81	35	
39	Alpine	Gasly	19.35	11	
