Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.09	37	25
2	Mercedes	Hamilton	2.12	27	18
3	McLaren	Piastri	2.24	23	15
4	Mercedes	Russell	2.28	52	12
5	Aston Martin	Alonso	2.36	40	10
6	RB	Tsunoda	2.37	12	8
7	Mercedes	Russell	2.41	21	
8	Aston Martin	Stroll	2.43	37	6
9	McLaren	Norris	2.46	22	4
10	Alpine	Ocon	2.51	25	2
11	Williams	Albon	2.55	9	1
12	Haas	Hulkenberg	2.57	13	
13	Alpine	Gasly	2.63	8	
14	Sauber	Zhou	2.64	33	
15	Red Bull	Verstappen	2.69	24	
16	Aston Martin	Alonso	2.7	59	
17	Sauber	Bottas	2.71	8	
18	RB	Ricciardo	2.75	11	
19	Ferrari	Sainz	2.79	27	
20	Ferrari	Leclerc	2.81	25	
21	Alpine	Gasly	3.07	30	
22	Haas	Magnussen	3.48	37	
23	Williams	Sargeant	3.57	31	
24	Aston Martin	Alonso	3.84	7	
25	Williams	Albon	3.96	28	
26	Williams	Albon	4.21	8	
27	Williams	Albon	10.94	23	
