Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Tsunoda 	2.06 	11 	25
2 	Mercedes 	Antonelli 	2.21 	9 	18
3 	Red Bull 	Verstappen 	2.23 	11 	15
4 	Alpine 	Gasly 	2.23 	41 	12
5 	Mercedes 	Antonelli 	2.24 	2 	0
6 	Mercedes 	Russell 	2.35 	38 	10
7 	Ferrari 	Hamilton 	2.38 	11 	8
8 	McLaren 	Norris 	2.39 	44 	6
9 	Alpine 	Gasly 	2.41 	11 	0
10 	Mercedes 	Russell 	2.44 	10 	0
11 	Haas 	Ocon 	2.52 	42 	4
12 	Racing Bulls 	Hadjar 	2.55 	10 	2
13 	Aston Martin 	Alonso 	2.56 	37 	1
14 	Williams 	Albon 	2.59 	12 	0
15 	Aston Martin 	Stroll 	2.60 	10 	0
16 	Aston Martin 	Stroll 	2.62 	41 	0
17 	Ferrari 	Leclerc 	2.69 	42 	0
18 	Haas 	Ocon 	2.72 	18 	0
19 	Williams 	Sainz 	2.72 	41 	0
20 	Aston Martin 	Stroll 	2.76 	6 	0
21 	Haas 	Bearman 	2.80 	10 	0
22 	Ferrari 	Leclerc 	2.89 	10 	0
23 	Aston Martin 	Alonso 	2.89 	11 	0
24 	Haas 	Bearman 	3.09 	41 	0
25 	Mercedes 	Antonelli 	3.13 	20 	0
26 	Ferrari 	Hamilton 	3.13 	41 	0
27 	McLaren 	Piastri 	3.15 	11 	0
28 	Williams 	Sainz 	3.22 	11 	0
29 	Williams 	Albon 	3.32 	42 	0
30 	Sauber 	Hulkenberg 	3.72 	9 	0
31 	Red Bull 	Verstappen 	3.76 	41 	0
32 	Sauber 	Hulkenberg 	4.11 	42 	0
33 	McLaren 	Norris 	4.64 	11 	0
34 	McLaren 	Piastri 	14.60 	43 	0
