Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	1.94 	31 	25
2 	McLaren 	Piastri 	1.94 	45 	18
3 	Red Bull 	Tsunoda 	1.97 	20 	15
4 	Ferrari 	Leclerc 	2.04 	40 	12
5 	Ferrari 	Leclerc 	2.09 	19 	0
6 	McLaren 	Piastri 	2.12 	18 	0
7 	Red Bull 	Verstappen 	2.18 	48 	10
8 	Racing Bulls 	Hadjar 	2.22 	33 	8
9 	Red Bull 	Verstappen 	2.28 	17 	0
10 	Aston Martin 	Stroll 	2.37 	36 	6
11 	Ferrari 	Hamilton 	2.37 	42 	4
12 	Red Bull 	Tsunoda 	2.37 	37 	0
13 	Alpine 	Gasly 	2.40 	32 	2
14 	Williams 	Albon 	2.49 	14 	1
15 	Sauber 	Hulkenberg 	2.54 	5 	0
16 	Sauber 	Bortoleto 	2.65 	40 	0
17 	Williams 	Sainz 	2.67 	51 	0
18 	Haas 	Bearman 	2.75 	30 	0
19 	Williams 	Sainz 	2.82 	15 	0
20 	Mercedes 	Russell 	2.90 	19 	0
21 	Aston Martin 	Alonso 	2.90 	39 	0
22 	Mercedes 	Russell 	2.91 	43 	0
23 	Racing Bulls 	Lawson 	2.96 	40 	0
24 	Mercedes 	Antonelli 	3.12 	21 	0
25 	Haas 	Ocon 	3.16 	14 	0
26 	Williams 	Albon 	3.80 	38 	0
27 	Alpine 	Colapinto 	7.23 	35 	0
28 	Sauber 	Hulkenberg 	9.68 	41 	0
29 	Alpine 	Colapinto 	11.01 	13 	0
