Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.10 	22 	25
2 	Ferrari 	Leclerc 	2.12 	52 	0
3 	Racing Bulls 	Lawson 	2.28 	23 	18
4 	Sauber 	Bortoleto 	2.36 	60 	15
5 	Mercedes 	Russell 	2.44 	53 	12
6 	Racing Bulls 	Hadjar 	2.48 	23 	10
7 	Mercedes 	Antonelli 	2.50 	23 	8
8 	Mercedes 	Antonelli 	2.53 	51 	0
9 	Aston Martin 	Stroll 	2.54 	8 	6
10 	Williams 	Sainz 	2.56 	23 	4
11 	Aston Martin 	Alonso 	2.60 	18 	2
12 	Sauber 	Hulkenberg 	2.62 	19 	1
13 	Aston Martin 	Stroll 	2.67 	52 	0
14 	McLaren 	Piastri 	2.69 	23 	0
15 	Racing Bulls 	Lawson 	2.76 	52 	0
16 	Alpine 	Colapinto 	2.76 	53 	0
17 	Sauber 	Bortoleto 	2.80 	22 	0
18 	Haas 	Ocon 	2.81 	52 	0
19 	McLaren 	Norris 	2.83 	23 	0
20 	Alpine 	Colapinto 	2.84 	19 	0
21 	Williams 	Albon 	2.96 	53 	0
22 	Red Bull 	Tsunoda 	2.97 	53 	0
23 	Red Bull 	Verstappen 	2.99 	53 	0
24 	Sauber 	Hulkenberg 	3.10 	53 	0
25 	Red Bull 	Tsunoda 	3.13 	19 	0
26 	Alpine 	Colapinto 	3.17 	65 	0
27 	Mercedes 	Russell 	3.36 	23 	0
28 	Red Bull 	Verstappen 	3.37 	23 	0
29 	Aston Martin 	Alonso 	3.37 	40 	0
30 	Haas 	Bearman 	3.64 	53 	0
31 	McLaren 	Piastri 	3.88 	53 	0
32 	Williams 	Sainz 	3.97 	65 	0
33 	Williams 	Albon 	4.19 	23 	0
34 	Racing Bulls 	Hadjar 	4.31 	53 	0
35 	Alpine 	Gasly 	4.32 	23 	0
36 	Mercedes 	Antonelli 	4.42 	53 	0
37 	McLaren 	Norris 	4.83 	53 	0
38 	Racing Bulls 	Lawson 	6.70 	27 	0
39 	Williams 	Sainz 	13.22 	27 	0
40 	Williams 	Sainz 	15.31 	51 	0
