Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Piastri 	1.91 	45 	25
2 	Ferrari 	Leclerc 	2.12 	33 	18
3 	Racing Bulls 	Hadjar 	2.18 	32 	15
4 	Ferrari 	Hamilton 	2.18 	38 	12
5 	Red Bull 	Tsunoda 	2.19 	19 	10
6 	Red Bull 	Verstappen 	2.21 	37 	8
7 	Racing Bulls 	Lawson 	2.22 	9 	6
8 	Alpine 	Colapinto 	2.85 	33 	4
9 	Alpine 	Gasly 	2.85 	49 	2
10 	Mercedes 	Antonelli 	2.95 	28 	1
11 	Mercedes 	Russell 	2.96 	27 	0
12 	Williams 	Sainz 	3.00 	30 	0
13 	Williams 	Albon 	3.22 	41 	0
14 	Aston Martin 	Alonso 	3.28 	20 	0
15 	Haas 	Bearman 	3.29 	18 	0
16 	Sauber 	Bortoleto 	3.98 	20 	0
17 	McLaren 	Norris 	5.87 	46 	0
18 	Haas 	Ocon 	8.61 	51 	0
19 	Aston Martin 	Stroll 	16.20 	49 	0
