Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Tsunoda 	2.14 	38 	25
2 	Racing Bulls 	Lawson 	2.19 	20 	18
3 	Red Bull 	Verstappen 	2.22 	40 	15
4 	Racing Bulls 	Hadjar 	2.24 	29 	12
5 	Ferrari 	Hamilton 	2.26 	36 	10
6 	Mercedes 	Russell 	2.30 	39 	8
7 	Sauber 	Hulkenberg 	2.38 	36 	6
8 	Haas 	Ocon 	2.46 	2 	4
9 	Williams 	Albon 	2.48 	15 	2
10 	Haas 	Ocon 	2.50 	1 	0
11 	Ferrari 	Leclerc 	2.52 	19 	1
12 	Sauber 	Bortoleto 	2.56 	26 	0
13 	Williams 	Sainz 	2.58 	27 	0
14 	Williams 	Albon 	2.68 	1 	0
15 	Alpine 	Colapinto 	2.68 	16 	0
16 	Mercedes 	Antonelli 	2.68 	18 	0
17 	Alpine 	Gasly 	3.29 	35 	0
18 	Haas 	Bearman 	3.34 	28 	0
19 	Aston Martin 	Stroll 	4.05 	37 	0
20 	McLaren 	Norris 	4.13 	37 	0
21 	Aston Martin 	Alonso 	8.21 	21 	0
