Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Tsunoda 	2.05 	13 	25
2 	McLaren 	Norris 	2.10 	26 	18
3 	Ferrari 	Hamilton 	2.31 	46 	15
4 	Mercedes 	Antonelli 	2.33 	25 	12
5 	Ferrari 	Leclerc 	2.38 	21 	10
6 	Racing Bulls 	Hadjar 	2.41 	20 	8
7 	Racing Bulls 	Lawson 	2.44 	48 	6
8 	Mercedes 	Russell 	2.49 	25 	4
9 	Aston Martin 	Stroll 	2.68 	38 	2
10 	Alpine 	Colapinto 	2.74 	14 	1
11 	Haas 	Bearman 	2.82 	23 	0
12 	Sauber 	Hulkenberg 	2.83 	25 	0
13 	Williams 	Sainz 	2.87 	50 	0
14 	Red Bull 	Verstappen 	3.02 	19 	0
15 	Haas 	Ocon 	3.24 	30 	0
16 	Ferrari 	Hamilton 	3.53 	24 	0
17 	Alpine 	Gasly 	3.77 	51 	0
18 	Alpine 	Gasly 	4.05 	24 	0
19 	Williams 	Albon 	4.36 	42 	0
20 	McLaren 	Piastri 	5.25 	27 	0
21 	Aston Martin 	Alonso 	9.33 	27 	0
22 	Sauber 	Hulkenberg 	10.04 	44 	0
23 	Sauber 	Bortoleto 	11.17 	13 	0
