Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Piastri 	2.08 	42 	25
2 	McLaren 	Norris 	2.19 	25 	18
3 	Racing Bulls 	Hadjar 	2.25 	32 	15
4 	Sauber 	Bortoleto 	2.32 	32 	12
5 	Haas 	Bearman 	2.34 	32 	10
6 	Red Bull 	Verstappen 	2.39 	32 	8
7 	Racing Bulls 	Lawson 	2.39 	32 	6
8 	Williams 	Sainz 	2.56 	32 	4
9 	Sauber 	Bortoleto 	2.58 	7 	0
10 	Aston Martin 	Alonso 	2.60 	7 	2
11 	Mercedes 	Antonelli 	2.60 	32 	1
12 	Aston Martin 	Stroll 	2.61 	24 	0
13 	Aston Martin 	Stroll 	2.73 	7 	0
14 	Ferrari 	Hamilton 	2.76 	32 	0
15 	McLaren 	Norris 	2.78 	44 	0
16 	Williams 	Sainz 	2.86 	7 	0
17 	Mercedes 	Russell 	2.88 	32 	0
18 	Red Bull 	Tsunoda 	2.96 	32 	0
19 	Alpine 	Colapinto 	3.03 	7 	0
20 	Racing Bulls 	Hadjar 	3.13 	7 	0
21 	Racing Bulls 	Lawson 	3.14 	7 	0
22 	McLaren 	Piastri 	3.15 	24 	0
23 	Aston Martin 	Alonso 	3.16 	32 	0
24 	Ferrari 	Hamilton 	3.23 	7 	0
25 	Williams 	Albon 	3.26 	7 	0
26 	Alpine 	Colapinto 	3.29 	32 	0
27 	Ferrari 	Leclerc 	3.32 	32 	0
28 	Red Bull 	Tsunoda 	3.48 	7 	0
29 	Haas 	Bearman 	3.60 	7 	0
30 	Alpine 	Gasly 	3.66 	32 	0
31 	Williams 	Albon 	3.77 	32 	0
32 	Mercedes 	Russell 	3.81 	7 	0
33 	Alpine 	Gasly 	3.86 	7 	0
34 	Red Bull 	Verstappen 	3.98 	7 	0
35 	Haas 	Ocon 	4.59 	34 	0
36 	Ferrari 	Leclerc 	4.67 	7 	0
37 	Mercedes 	Antonelli 	6.31 	7 	0
38 	Haas 	Ocon 	8.34 	8 	0
39 	Haas 	Ocon 	8.71 	9 	0
40 	Aston Martin 	Stroll 	10.12 	49 	0
41 	Haas 	Bearman 	11.86 	40 	0
