Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.05 	15 	25
2 	Racing Bulls 	Tsunoda 	2.08 	11 	18
3 	Red Bull 	Verstappen 	2.15 	13 	15
4 	McLaren 	Norris 	2.27 	15 	12
5 	Racing Bulls 	Tsunoda 	2.28 	35 	0
6 	Ferrari 	Hamilton 	2.35 	37 	10
7 	Red Bull 	Lawson 	2.42 	18 	8
8 	Ferrari 	Hamilton 	2.43 	13 	0
9 	Mercedes 	Russell 	2.45 	14 	6
10 	Red Bull 	Lawson 	2.52 	30 	0
11 	Racing Bulls 	Hadjar 	2.54 	33 	4
12 	Sauber 	Bortoleto 	2.69 	26 	2
13 	Mercedes 	Antonelli 	2.72 	12 	1
14 	Alpine 	Doohan 	2.79 	11 	0
15 	Williams 	Sainz 	2.79 	17 	0
16 	Sauber 	Hulkenberg 	2.79 	20 	0
17 	Haas 	Ocon 	2.86 	11 	0
18 	Haas 	Bearman 	2.92 	26 	0
19 	Racing Bulls 	Hadjar 	3.04 	12 	0
20 	Alpine 	Gasly 	3.13 	10 	0
21 	Aston Martin 	Stroll 	3.21 	36 	0
22 	Sauber 	Bortoleto 	3.33 	1 	0
23 	Williams 	Albon 	3.35 	20 	0
24 	McLaren 	Piastri 	3.83 	14 	0
25 	Racing Bulls 	Tsunoda 	17.69 	46 	0
