Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.00 	29 	25
2 	Ferrari 	Hamilton 	2.07 	23 	18
3 	Mercedes 	Antonelli 	2.32 	19 	15
4 	Sauber 	Hulkenberg 	2.36 	33 	12
5 	Mercedes 	Russell 	2.41 	20 	10
6 	Alpine 	Doohan 	2.47 	1 	8
7 	Aston Martin 	Stroll 	2.55 	39 	6
8 	Racing Bulls 	Lawson 	2.57 	20 	4
9 	McLaren 	Norris 	2.67 	34 	2
10 	Racing Bulls 	Hadjar 	3.13 	34 	1
11 	Haas 	Ocon 	3.14 	1 	0
12 	Sauber 	Bortoleto 	3.44 	1 	0
13 	McLaren 	Piastri 	3.49 	19 	0
14 	Alpine 	Doohan 	3.62 	32 	0
15 	Aston Martin 	Alonso 	3.91 	19 	0
16 	Haas 	Bearman 	4.28 	18 	0
17 	Williams 	Albon 	4.44 	22 	0
18 	Williams 	Sainz 	6.44 	21 	0
19 	Red Bull 	Verstappen 	8.32 	21 	0
