Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.04 	10 	25
2 	Red Bull 	Tsunoda 	2.09 	29 	18
3 	Red Bull 	Verstappen 	2.11 	46 	15
4 	Racing Bulls 	Lawson 	2.13 	10 	12
5 	McLaren 	Norris 	2.18 	28 	10
6 	Ferrari 	Hamilton 	2.18 	46 	8
7 	Ferrari 	Hamilton 	2.35 	29 	0
8 	Red Bull 	Verstappen 	2.36 	29 	0
9 	Sauber 	Bortoleto 	2.37 	46 	6
10 	Racing Bulls 	Lawson 	2.37 	29 	0
11 	Mercedes 	Russell 	2.47 	11 	4
12 	Racing Bulls 	Hadjar 	2.50 	29 	2
13 	Mercedes 	Antonelli 	2.52 	29 	1
14 	Williams 	Albon 	2.58 	47 	0
15 	Haas 	Ocon 	2.60 	1 	0
16 	Sauber 	Hulkenberg 	2.62 	29 	0
17 	Aston Martin 	Alonso 	2.63 	12 	0
18 	Racing Bulls 	Hadjar 	2.66 	46 	0
19 	Mercedes 	Russell 	2.73 	29 	0
20 	Ferrari 	Leclerc 	2.81 	29 	0
21 	Alpine 	Colapinto 	2.88 	22 	0
22 	Haas 	Bearman 	2.92 	29 	0
23 	Williams 	Albon 	2.97 	29 	0
24 	Williams 	Sainz 	3.08 	29 	0
25 	Sauber 	Bortoleto 	3.14 	29 	0
26 	Aston Martin 	Alonso 	3.19 	46 	0
27 	Alpine 	Colapinto 	3.22 	46 	0
28 	Alpine 	Gasly 	3.25 	29 	0
29 	McLaren 	Piastri 	3.32 	30 	0
30 	Sauber 	Bortoleto 	3.40 	12 	0
31 	Williams 	Sainz 	3.41 	11 	0
32 	McLaren 	Piastri 	3.65 	13 	0
33 	Aston Martin 	Stroll 	3.67 	14 	0
34 	Alpine 	Gasly 	3.71 	9 	0
35 	Aston Martin 	Stroll 	4.13 	46 	0
36 	McLaren 	Norris 	4.46 	46 	0
37 	Haas 	Bearman 	29.04 	31 	0
