Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Audi 	Hulkenberg 	2.30 	19 	25
2 	Aston Martin 	Stroll 	2.31 	35 	18
3 	Mercedes 	Russell 	2.32 	40 	15
4 	Racing Bulls 	Tsunoda 	2.36 	18 	12
5 	Aston Martin 	Alonso 	2.37 	34 	10
6 	Racing Bulls 	Tsunoda 	2.37 	44 	0
7 	Williams 	Albon 	2.44 	49 	8
8 	Williams 	Sainz 	2.52 	65 	6
9 	Red Bull 	Lawson 	2.56 	47 	4
10 	Aston Martin 	Stroll 	2.57 	15 	0
11 	Haas 	Ocon 	2.60 	36 	2
12 	Audi 	Bortoleto 	2.62 	34 	1
13 	Ferrari 	Hamilton 	2.67 	25 	0
14 	Williams 	Sainz 	2.72 	30 	0
15 	McLaren 	Norris 	2.76 	47 	0
16 	Williams 	Albon 	2.79 	26 	0
17 	Alpine 	Gasly 	2.80 	18 	0
18 	Cadillac 	Perez 	2.80 	29 	0
19 	Mercedes 	Antonelli 	2.90 	40 	0
20 	McLaren 	Piastri 	2.94 	44 	0
21 	Mercedes 	Russell 	2.98 	17 	0
22 	Racing Bulls 	Lindblad 	2.99 	36 	0
23 	McLaren 	Piastri 	3.04 	55 	0
24 	Audi 	Bortoleto 	3.04 	11 	0
25 	Haas 	Ocon 	3.09 	16 	0
26 	Audi 	Hulkenberg 	3.14 	48 	0
27 	Alpine 	Gasly 	3.15 	46 	0
28 	Cadillac 	Perez 	3.15 	52 	0
29 	McLaren 	Norris 	3.20 	21 	0
30 	Ferrari 	Hamilton 	3.20 	55 	0
31 	Ferrari 	Leclerc 	3.26 	55 	0
32 	Red Bull 	Lawson 	3.29 	21 	0
33 	Alpine 	Colapinto 	3.47 	45 	0
34 	Ferrari 	Leclerc 	3.54 	43 	0
35 	Mercedes 	Antonelli 	3.62 	21 	0
36 	Audi 	Bortoleto 	3.96 	53 	0
37 	Cadillac 	Bottas 	4.08 	51 	0
38 	Alpine 	Colapinto 	4.10 	21 	0
39 	Ferrari 	Leclerc 	4.18 	21 	0
40 	Mercedes 	Antonelli 	4.35 	56 	0
41 	Cadillac 	Bottas 	4.66 	28 	0
42 	McLaren 	Piastri 	5.37 	18 	0
