Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Mercedes 	Russell 	2.14 	28 	25
2 	Mercedes 	Russell 	2.19 	14 	0
3 	Red Bull 	Verstappen 	2.34 	14 	18
4 	Audi 	Hulkenberg 	2.34 	14 	15
5 	Audi 	Bortoleto 	2.38 	47 	12
6 	Red Bull 	Lawson 	2.41 	44 	10
7 	Williams 	Albon 	2.54 	14 	8
8 	Haas 	Ocon 	2.58 	14 	6
9 	Racing Bulls 	Tsunoda 	2.61 	36 	4
10 	Haas 	Bearman 	2.67 	43 	2
11 	Ferrari 	Leclerc 	2.70 	48 	1
12 	Alpine 	Gasly 	2.75 	55 	0
13 	Alpine 	Colapinto 	2.78 	14 	0
14 	Cadillac 	Bottas 	2.78 	29 	0
15 	Racing Bulls 	Lindblad 	2.80 	14 	0
16 	Cadillac 	Bottas 	2.81 	43 	0
17 	McLaren 	Piastri 	2.84 	42 	0
18 	Williams 	Sainz 	2.91 	31 	0
19 	Aston Martin 	Alonso 	2.93 	37 	0
20 	Cadillac 	Perez 	2.94 	14 	0
21 	Mercedes 	Antonelli 	2.96 	14 	0
22 	Haas 	Bearman 	4.51 	33 	0
23 	McLaren 	Norris 	6.65 	15 	0
24 	Williams 	Sainz 	11.67 	23 	0
25 	Aston Martin 	Alonso 	14.66 	14 	0
