Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Mercedes 	Antonelli 	2.17 	37 	25
2 	Audi 	Bortoleto 	2.19 	43 	18
3 	McLaren 	Piastri 	2.22 	48 	15
4 	Mercedes 	Russell 	2.26 	31 	12
5 	Ferrari 	Hamilton 	2.27 	28 	10
6 	Audi 	Hulkenberg 	2.53 	12 	8
7 	Audi 	Bortoleto 	2.56 	59 	0
8 	Aston Martin 	Stroll 	2.81 	4 	6
9 	Red Bull 	Hadjar 	3.06 	32 	4
10 	Williams 	Albon 	3.07 	43 	2
11 	Audi 	Bortoleto 	3.10 	1 	0
12 	Ferrari 	Leclerc 	3.11 	35 	1
13 	Aston Martin 	Alonso 	3.17 	3 	0
14 	Alpine 	Gasly 	3.17 	45 	0
15 	Racing Bulls 	Lawson 	3.24 	44 	0
16 	Alpine 	Colapinto 	3.32 	35 	0
17 	Haas 	Ocon 	3.34 	9 	0
18 	Cadillac 	Perez 	3.84 	59 	0
19 	Williams 	Sainz 	4.04 	52 	0
20 	Aston Martin 	Alonso 	4.33 	58 	0
21 	Mercedes 	Antonelli 	4.36 	61 	0
22 	Cadillac 	Bottas 	4.52 	1 	0
23 	Cadillac 	Perez 	4.92 	4 	0
24 	Ferrari 	Leclerc 	5.33 	60 	0
25 	Mercedes 	Russell 	5.41 	60 	0
26 	Ferrari 	Hamilton 	8.77 	60 	0
27 	McLaren 	Piastri 	8.90 	59 	0
28 	Haas 	Bearman 	10.04 	1 	0
