Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Piastri 	2.13 	14 	25
2 	Audi 	Bortoleto 	2.21 	33 	18
3 	Red Bull 	Hadjar 	2.25 	58 	15
4 	Mercedes 	Russell 	2.27 	36 	12
5 	Williams 	Albon 	2.28 	29 	10
6 	McLaren 	Norris 	2.29 	13 	8
7 	Mercedes 	Russell 	2.29 	12 	0
8 	Red Bull 	Verstappen 	2.39 	12 	6
9 	Mercedes 	Antonelli 	2.46 	14 	4
10 	Aston Martin 	Alonso 	2.50 	21 	2
11 	Racing Bulls 	Lindblad 	2.53 	22 	1
12 	Alpine 	Colapinto 	2.57 	34 	0
13 	Ferrari 	Leclerc 	2.58 	39 	0
14 	Red Bull 	Hadjar 	2.58 	15 	0
15 	Ferrari 	Hamilton 	2.60 	11 	0
16 	Audi 	Hulkenberg 	2.60 	13 	0
17 	McLaren 	Norris 	2.62 	35 	0
18 	Ferrari 	Leclerc 	2.66 	16 	0
19 	Audi 	Bortoleto 	2.68 	15 	0
20 	Mercedes 	Antonelli 	2.68 	37 	0
21 	Cadillac 	Bottas 	2.73 	14 	0
22 	Ferrari 	Hamilton 	2.73 	27 	0
23 	Red Bull 	Hadjar 	2.84 	32 	0
24 	Ferrari 	Hamilton 	2.90 	41 	0
25 	Red Bull 	Verstappen 	2.98 	40 	0
26 	Alpine 	Gasly 	3.01 	14 	0
27 	Alpine 	Colapinto 	3.13 	12 	0
28 	Williams 	Sainz 	3.14 	30 	0
29 	McLaren 	Piastri 	3.18 	36 	0
30 	Cadillac 	Perez 	3.22 	39 	0
31 	Haas 	Ocon 	3.25 	58 	0
32 	Williams 	Albon 	3.28 	50 	0
33 	Williams 	Sainz 	3.32 	55 	0
34 	Williams 	Sainz 	3.39 	14 	0
35 	Haas 	Ocon 	3.46 	13 	0
36 	Haas 	Bearman 	3.49 	18 	0
37 	Racing Bulls 	Lawson 	3.71 	35 	0
38 	Alpine 	Gasly 	3.76 	40 	0
39 	Racing Bulls 	Lindblad 	3.95 	37 	0
40 	Cadillac 	Perez 	4.05 	31 	0
41 	Cadillac 	Perez 	4.07 	12 	0
42 	Haas 	Bearman 	4.07 	39 	0
43 	Williams 	Albon 	4.24 	13 	0
44 	Red Bull 	Verstappen 	4.39 	29 	0
45 	Audi 	Bortoleto 	6.01 	53 	0
46 	Racing Bulls 	Lawson 	6.28 	11 	0
47 	Haas 	Ocon 	6.76 	34 	0
