Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Racing Bulls 	Lindblad 	2.03 	18 	25
2 	Ferrari 	Hamilton 	2.05 	25 	18
3 	Red Bull 	Verstappen 	2.13 	49 	15
4 	Ferrari 	Leclerc 	2.21 	37 	12
5 	Mercedes 	Russell 	2.23 	43 	10
6 	Ferrari 	Hamilton 	2.24 	42 	0
7 	Mercedes 	Russell 	2.27 	19 	0
8 	Alpine 	Gasly 	2.30 	38 	8
9 	Racing Bulls 	Lawson 	2.30 	45 	6
10 	Racing Bulls 	Lindblad 	2.31 	46 	0
11 	Red Bull 	Hadjar 	2.32 	40 	4
12 	Ferrari 	Hamilton 	2.35 	12 	0
13 	Mercedes 	Antonelli 	2.43 	51 	2
14 	McLaren 	Piastri 	2.44 	42 	1
15 	Mercedes 	Antonelli 	2.46 	24 	0
16 	Alpine 	Colapinto 	2.46 	46 	0
17 	Williams 	Albon 	2.48 	37 	0
18 	Williams 	Albon 	2.52 	18 	0
19 	Audi 	Hulkenberg 	2.52 	21 	0
20 	Ferrari 	Leclerc 	2.53 	13 	0
21 	Alpine 	Colapinto 	2.54 	20 	0
22 	Alpine 	Gasly 	2.55 	51 	0
23 	Alpine 	Gasly 	2.63 	13 	0
24 	Williams 	Sainz 	2.67 	14 	0
25 	Red Bull 	Hadjar 	2.69 	18 	0
26 	Racing Bulls 	Lawson 	2.73 	19 	0
27 	Haas 	Bearman 	2.78 	24 	0
28 	Haas 	Ocon 	2.80 	18 	0
29 	McLaren 	Norris 	2.92 	21 	0
30 	Audi 	Bortoleto 	2.94 	44 	0
31 	McLaren 	Norris 	3.04 	47 	0
32 	Red Bull 	Verstappen 	3.07 	18 	0
33 	Aston Martin 	Alonso 	3.07 	24 	0
34 	Aston Martin 	Stroll 	3.08 	24 	0
35 	McLaren 	Piastri 	3.18 	19 	0
36 	Audi 	Bortoleto 	3.36 	17 	0
37 	Haas 	Bearman 	3.54 	45 	0
38 	Audi 	Hulkenberg 	3.56 	45 	0
39 	Ferrari 	Leclerc 	3.76 	59 	0
40 	Haas 	Ocon 	6.58 	33 	0
41 	Aston Martin 	Alonso 	8.74 	49 	0
